Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Alexander George Wharf,04-06-1975,ENGLAND,Right-hand bat,Right-arm medium-fast,"September 1,2004",England v India,13,5,19,3,9,9.500,28,67.85,0,0,0,1,1,0,584,428,18,23.77,4.397,32.44,0,0,4/24,4/24
Alistair Duncan Brown,11-02-1970,ENGLAND,Right-hand bat,Off-break,"May 23,1996",England v India,16,16,354,0,118,22.12,427,82.90,1,1,40,3,6,0,6,5,0,--,5.000,--,0,0,0/5,0/5
Allan Joseph Lamb,20-06-1954,ENGLAND,Right-hand bat,Right-arm medium,"June 2,1982",England v India,122,118,4010,16,118,39.31,5308,75.54,4,26,328,30,31,0,6,3,0,--,3.000,--,0,0,0/0,0/0
Andrew Flintoff,06-12-1977,ENGLAND,Right-hand bat,Right-arm fast,"April 7,1999",England v Pakistan,141,122,3394,16,123,32.01,3820,88.84,3,18,308,93,47,0,5624,4121,169,24.38,4.396,33.27,2,0,5/19,5/19
Andrew John Strauss,02-03-1977,ENGLAND,Left-hand bat,Left-arm medium,"November 18,2003",Sri Lanka v England,127,126,4205,8,158,35.63,5192,80.99,6,27,455,25,57,0,6,3,0,--,3.000,--,0,0,0/3,0/3
Andrew Richard Caddick,21-11-1968,ENGLAND,Right-hand bat,Right-arm fast-medium,"May 19,1993",England v Australia,54,38,249,18,36,12.45,395,63.03,0,0,19,3,9,0,2937,1965,69,28.47,4.014,42.56,0,0,4/19,4/19
Timothy Andrew Lloyd,05-11-1956,ENGLAND,Left-hand bat,Right-arm medium,"May 31,1984",England v West Indies,3,3,101,0,49,33.66,228,44.29,0,0,3,0,--,--,--,--,--,--,--,--,--,--,,
Angus Robert Charles Fraser,08-08-1965,ENGLAND,Right-hand bat,Right-arm fast-medium,"October 15,1989",England v Sri Lanka,42,20,141,9,38*,12.81,208,67.78,0,0,15,2,5,0,2392,1412,47,30.04,3.541,50.89,0,0,4/22,4/22
Anthony McGrath,06-10-1975,ENGLAND,Right-hand bat,Right-arm medium,"June 17,2003",England v Pakistan,14,12,166,2,52,16.60,353,47.02,0,1,11,0,4,0,228,175,4,43.75,4.605,57.00,0,0,1/13,1/13
Ashley Fraser Giles,19-03-1973,ENGLAND,Right-hand bat,Slow left-arm,"May 24,1997",England v Australia,62,35,385,13,41,17.50,551,69.87,0,0,24,4,22,0,2856,2069,55,37.61,4.346,51.92,1,0,5/57,5/57
Barry Wood,26-12-1942,ENGLAND,Right-hand bat,Right-arm medium,"August 28,1972",England v Australia,13,12,314,2,78*,31.40,647,48.53,0,2,22,--,6,0,408,224,9,24.88,3.294,45.33,0,0,2/14,2/14
Basil Lewis D'Oliveira,04-10-1931,ENGLAND,Right-hand bat,"Right-arm medium, Off-break","January 5,1971",Australia v England,4,4,30,1,17,10.00,43,69.76,0,0,3,0,1,0,192,140,3,46.66,4.375,64.00,0,0,1/1,1/4
Benjamin Caine Hollioake,11-11-1977,ENGLAND,Right-hand bat,Right-arm fast-medium,"May 25,1997",England v Australia,20,17,309,2,63,20.60,381,81.10,0,2,34,3,6,0,642,532,8,66.50,4.972,80.25,0,0,2/37,2/37
Benjamin Andrew Stokes,04-06-1991,ENGLAND,Left-hand bat,Right-arm fast-medium,"August 25,2011",Ireland v England,67,59,1791,9,102*,35.82,1861,96.23,3,11,142,55,34,0,2181,2205,58,38.01,6.066,37.60,1,0,5/61,5/61
Charles William Jeffrey Athey,27-09-1957,ENGLAND,Right-hand bat,Off-break,"August 20,1980",England v Australia,31,30,848,3,142*,31.40,1495,56.72,2,4,54,4,16,0,6,10,0,--,10.00,--,0,0,0/10,0/10
Robert William Taylor,17-07-1941,ENGLAND,Right-hand bat,Right-arm medium,"September 5,1973",England v West Indies,27,17,130,7,26*,13.00,312,41.66,0,0,7,0,26,6,--,--,--,--,--,--,--,--,,
Robert George Dylan Willis,30-05-1949,ENGLAND,Right-hand bat,Right-arm fast,"September 5,1973",England v West Indies,64,22,83,14,24*,10.37,157,52.86,0,0,6,0,22,0,3553,1968,80,24.60,3.323,44.41,0,0,4/11,4/11
Robert Andrew Woolmer,14-05-1948,ENGLAND,Right-hand bat,Right-arm medium,"August 24,1972",England v Australia,6,4,21,0,9,5.250,46,45.65,0,0,1,0,3,0,321,260,9,28.88,4.859,35.66,0,0,3/33,3/33
William Boyd Rankin,05-07-1984,IRELAND,Left-hand bat,Right-arm fast-medium,"January 31,2007",Bermuda v Ireland,57,24,60,14,18*,6.000,144,41.66,0,0,2,1,15,0,2773,2212,80,27.65,4.786,34.66,0,0,4/15,4/15
Dennis Brian Close,24-02-1931,ENGLAND,Left-hand bat,"Right-arm medium, Off-break","August 24,1972",England v Australia,3,3,49,0,43,16.33,50,98.00,0,0,7,1,1,0,18,21,0,--,7.000,--,0,0,0/0,0/8
Brian William Luckhurst,05-02-1939,ENGLAND,Right-hand bat,Slow left-arm,"January 1,1975",Australia v England,3,3,15,0,14,5.000,69,21.73,0,0,1,0,--,--,--,--,--,--,--,--,--,--,,
Brian Charles Rose,04-06-1950,ENGLAND,Left-hand bat,Left-arm medium,"December 23,1977",Pakistan v England,2,2,99,0,54,49.50,210,47.14,0,1,7,0,1,0,--,--,--,--,--,--,--,--,,
Bruce Nicholas French,13-08-1959,ENGLAND,Right-hand bat,NaN,"January 27,1985",India v England,13,8,34,3,9*,6.800,71,47.88,0,0,1,0,13,3,--,--,--,--,--,--,--,--,,
Christopher John Adams,06-05-1970,ENGLAND,Right-hand bat,Off-break,"May 21,1998",England v South Africa,5,4,71,0,42,17.75,144,49.30,0,0,3,0,3,0,--,--,--,--,--,--,--,--,,
Brian Christopher Broad,29-09-1957,ENGLAND,Left-hand bat,Right-arm medium,"January 1,1987",Australia v England,34,34,1361,0,106,40.02,2447,55.61,1,11,81,3,10,0,6,6,0,--,6.000,--,0,0,0/4,0/4
Christopher Stuart Cowdrey,20-10-1957,ENGLAND,Right-hand bat,Right-arm medium,"January 23,1985",India v England,3,3,51,1,46*,25.50,46,110.8,0,0,5,1,--,--,52,55,2,27.50,6.346,26.00,0,0,1/3,1/3
Christopher James Jordan,04-10-1988,ENGLAND,Right-hand bat,Right-arm fast-medium,"September 16,2013",England v Australia,31,21,169,7,38*,12.07,188,89.89,0,0,12,5,19,0,1532,1521,43,35.37,5.956,35.62,1,0,3/22,3/22
Clairmonte Christopher Lewis,14-02-1968,ENGLAND,Right-hand bat,Right-arm fast-medium,"February 14,1990",West Indies v England,53,40,374,14,33,14.38,464,80.60,0,0,25,6,20,0,2625,1942,66,29.42,4.438,39.77,0,0,4/24,4/30
Christopher Middleton Old,22-12-1948,ENGLAND,Left-hand bat,Right-arm fast-medium,"September 5,1973",England v West Indies,32,25,338,7,51*,18.77,401,84.28,0,1,29,6,8,0,1677,999,45,22.20,3.574,37.26,0,0,4/8,4/8
Christopher Mark Wells Read,10-08-1978,ENGLAND,Right-hand bat,NaN,"January 23,2000",South Africa v England,36,24,300,7,30*,17.64,410,73.17,0,0,21,6,41,2,--,--,--,--,--,--,--,--,,
Christopher Eric Wilfred Silverwood,05-03-1975,ENGLAND,Right-hand bat,Right-arm fast-medium,"December 15,1996",Zimbabwe v England,7,4,17,0,12,4.250,34,50.00,0,0,1,0,--,--,306,244,6,40.66,4.784,51.00,0,0,3/43,3/43
Christopher Lyall Smith,15-10-1958,ENGLAND,Right-hand bat,Off-break,"February 18,1984",New Zealand v England,4,4,109,0,70,27.25,240,45.41,0,1,19,1,--,--,36,28,2,14.00,4.666,18.00,0,0,2/8,2/8
Christopher James Tavaré,27-10-1954,ENGLAND,Right-hand bat,Off-break,"May 28,1980",England v West Indies,29,28,720,2,83*,27.69,1471,48.94,0,4,58,2,7,0,12,3,0,--,1.500,--,0,0,0/0,0/0
Christopher Timothy Tremlett,02-09-1981,ENGLAND,Right-hand bat,Right-arm fast-medium,"June 21,2005",England v Bangladesh,15,11,50,4,19*,7.142,89,56.17,0,0,2,2,4,0,784,705,15,47.00,5.395,52.26,0,0,4/26,4/32
Christopher Roger Woakes,02-03-1989,ENGLAND,Right-hand bat,Right-arm fast-medium,"January 23,2011",Australia v England,76,55,1034,18,95*,27.94,1135,91.10,0,4,75,16,32,0,3654,3355,109,30.77,5.509,33.52,2,0,6/45,6/45
Clive Thornton Radley,13-05-1944,ENGLAND,Right-hand bat,Leg-break,"May 24,1978",England v Pakistan,4,4,250,1,117*,83.33,367,68.11,1,1,25,0,--,--,--,--,--,--,--,--,--,--,,
Michael Colin Cowdrey,24-12-1932,ENGLAND,Right-hand bat,Leg-break,"January 5,1971",Australia v England,1,1,1,0,1,1.000,5,20.00,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
Colin Mark Wells,03-03-1960,ENGLAND,Right-hand bat,Right-arm medium,"March 24,1985",Australia v England,2,2,22,0,17,11.00,44,50.00,0,0,2,0,--,--,--,--,--,--,--,--,--,--,,
Craig Kieswetter,28-11-1987,ENGLAND,Right-hand bat,Off-break,"February 28,2010",Bangladesh v England,46,40,1054,5,107,30.11,1172,89.93,1,5,106,32,53,12,--,--,--,--,--,--,--,--,,
Craig White,16-12-1969,ENGLAND,Right-hand bat,"Off-break, Right-arm fast-medium","December 6,1994",Australia v England,51,41,568,5,57*,15.77,928,61.20,0,1,28,4,12,0,2364,1726,65,26.55,4.380,36.36,1,0,5/21,5/21
Danny Richard Briggs,30-04-1991,ENGLAND,Right-hand bat,Slow left-arm,"February 21,2012",Pakistan v England,1,0,0,0,0*,--,0,--,0,0,0,0,--,--,60,39,2,19.50,3.900,30.00,0,0,2/25,2/25
Darren Gough,18-09-1970,ENGLAND,Right-hand bat,Right-arm fast,"May 19,1994",England v New Zealand,159,87,609,38,46*,12.42,947,64.30,0,0,43,5,25,0,8470,6209,235,26.42,4.398,36.04,2,0,5/40,5/44
Darren Lee Maddy,23-05-1974,ENGLAND,Right-hand bat,Right-arm medium,"May 21,1998",England v South Africa,8,6,113,0,53,18.83,206,54.85,0,1,10,0,1,0,--,--,--,--,--,--,--,--,,
David Leslie Bairstow,01-09-1951,ENGLAND,Right-hand bat,Right-arm medium,"January 24,1979",Australia v England,21,20,206,6,23*,14.71,390,52.82,0,0,12,1,17,4,--,--,--,--,--,--,--,--,,
David John Capel,06-02-1963,ENGLAND,Right-hand bat,Right-arm medium-fast,"April 2,1987",England v India,23,19,327,2,50*,19.23,479,68.26,0,1,22,4,6,0,1038,805,17,47.35,4.653,61.05,0,0,3/38,3/38
David Ivon Gower,01-04-1957,ENGLAND,Left-hand bat,Off-break,"May 24,1978",England v Pakistan,114,111,3170,8,158,30.77,4218,75.15,7,12,290,22,44,0,5,14,0,--,16.80,--,0,0,0/1,0/1
David Valentine Lawrence,28-01-1964,ENGLAND,Right-hand bat,Right-arm fast,"May 27,1991",England v West Indies,1,0,0,0,0,--,0,--,0,0,0,0,--,--,66,67,4,16.75,6.090,16.50,0,0,4/67,4/67
David Lloyd,18-03-1947,ENGLAND,Left-hand bat,Slow left-arm,"September 7,1973",England v West Indies,8,8,285,1,116*,40.71,526,54.18,1,0,25,1,3,0,12,3,1,3.000,1.500,12.00,0,0,1/3,1/3
David Stanley Steele,29-09-1941,ENGLAND,Right-hand bat,Slow left-arm,"August 26,1976",England v West Indies,1,1,8,0,8,8.000,12,66.66,0,0,1,0,--,--,6,9,0,--,9.000,--,0,0,0/1,0/1
Dean Warren Headley,27-01-1970,ENGLAND,Right-hand bat,Right-arm fast-medium,"August 29,1996",England v Pakistan,13,6,22,4,10*,11.00,49,44.89,0,0,0,0,3,0,594,520,11,47.27,5.252,54.00,0,0,2/38,2/38
Dennis Leslie Amiss,07-04-1943,ENGLAND,Right-hand bat,"Slow left-arm, Left-arm medium","August 24,1972",England v Australia,18,18,859,0,137,47.72,1185,72.48,4,1,94,1,2,0,--,--,--,--,--,--,--,--,,
Derek Raymond Pringle,18-09-1958,ENGLAND,Right-hand bat,Right-arm medium,"July 17,1982",England v Pakistan,44,30,425,12,49*,23.61,616,68.99,0,0,26,3,11,0,2379,1677,44,38.11,4.229,54.06,0,0,4/42,4/42
Derek William Randall,24-02-1951,ENGLAND,Right-hand bat,Right-arm medium,"August 28,1976",England v West Indies,49,45,1067,5,88,26.67,1702,62.69,0,5,82,7,25,0,2,2,1,2.000,6.000,2.000,0,0,1/2,1/2
Derek Leslie Underwood,08-06-1945,ENGLAND,Right-hand bat,"Left-arm slow-medium, Left-arm medium","July 18,1973",England v New Zealand,26,13,53,4,17,5.888,133,39.84,0,0,5,0,6,0,1266,734,32,22.93,3.478,39.56,0,0,4/28,4/44
Dermot Alexander Reeve,02-04-1963,ENGLAND,Right-hand bat,Right-arm medium,"May 27,1991",England v West Indies,29,21,291,9,35,24.25,389,74.80,0,0,19,0,12,0,1147,820,20,41.00,4.289,57.35,0,0,3/20,3/20
Devon Eugene Malcolm,22-02-1963,ENGLAND,Right-hand bat,Right-arm fast,"May 25,1990",England v New Zealand,10,5,9,2,4*,3.000,11,81.81,0,0,1,0,1,0,526,404,16,25.25,4.608,32.87,0,0,3/40,3/40
Adrian Dimitri Mascarenhas,30-10-1977,ENGLAND,Right-hand bat,Right-arm medium-fast,"July 1,2007",England v West Indies,20,13,245,2,52,22.27,257,95.33,0,1,12,13,4,0,822,634,13,48.76,4.627,63.23,0,0,3/18,3/18
Dominic Gerald Cork,07-08-1971,ENGLAND,Right-hand bat,Right-arm fast-medium,"August 24,1992",England v Pakistan,32,21,180,3,31*,10.00,271,66.42,0,0,13,1,6,0,1772,1368,41,33.36,4.632,43.21,0,0,3/13,3/27
Douglas Robert Brown,29-10-1969,SCOTLAND,Right-hand bat,Right-arm fast-medium,"December 11,1997",England v India,25,24,319,6,50*,17.72,479,66.59,0,1,28,2,4,0,953,919,22,41.77,5.785,43.31,0,0,3/37,3/37
Edward Ernest Hemmings,20-02-1949,ENGLAND,Right-hand bat,"Right-arm medium, Off-break","July 17,1982",England v Pakistan,33,12,30,6,8*,5.000,61,49.18,0,0,1,0,5,0,1752,1294,37,34.97,4.431,47.35,0,0,4/52,4/52
Eoin Joseph Gerard Morgan,10-09-1986,IRELAND,Left-hand bat,Right-arm medium,"August 5,2006",Scotland v Ireland,200,187,6031,25,124*,37.22,6850,88.04,11,35,501,156,75,0,--,--,--,--,--,--,--,--,,
Frank Charles Hayes,06-12-1946,ENGLAND,Right-hand bat,Right-arm medium,"July 18,1973",England v New Zealand,6,6,128,1,52,25.60,235,54.46,0,1,18,2,--,--,--,--,--,--,--,--,--,--,,
Frederick John Titmus,24-11-1932,ENGLAND,Right-hand bat,Off-break,"March 8,1975",New Zealand v England,2,1,11,0,11*,11.00,32,34.37,0,0,1,0,1,0,42,53,3,17.66,7.571,14.00,0,0,3/53,3/46
Gareth Jon Batty,13-10-1977,ENGLAND,Right-hand bat,Off-break,"December 13,2002",Australia v England,10,8,30,2,17,5.000,73,41.09,0,0,1,0,4,0,440,366,5,73.20,4.990,88.00,0,0,2/40,2/40
Gary Simon Ballance,22-11-1989,ENGLAND,Left-hand bat,Leg-break,"September 3,2013",Ireland v England,16,15,297,1,79,21.21,443,67.04,0,2,21,1,8,0,--,--,--,--,--,--,--,--,,
Gavin Mark Hamilton,16-09-1974,SCOTLAND,Left-hand bat,Right-arm medium-fast,"May 16,1999",Australia v Scotland,38,38,1231,3,119,35.17,1848,66.61,2,7,95,11,6,1,220,160,3,53.33,4.363,73.33,0,0,2/36,2/36
Geoffrey Graham Arnold,03-09-1944,ENGLAND,Right-hand bat,Right-arm fast-medium,"August 24,1972",England v Australia,14,6,48,3,18*,16.00,75,64.00,0,0,4,0,2,0,694,339,19,17.84,2.930,36.52,0,0,4/19,4/27
Geoffrey Cook,09-10-1951,ENGLAND,Right-hand bat,Slow left-arm,"November 25,1981",India v England,6,6,106,0,32,17.66,261,40.61,0,0,6,0,2,0,--,--,--,--,--,--,--,--,,
Geoffrey Alan Cope,23-02-1947,ENGLAND,Right-hand bat,Off-break,"December 30,1977",Pakistan v England,2,1,1,1,1*,--,1,100.0,0,0,0,0,--,--,84,35,2,17.50,2.500,42.00,0,0,1/16,1/16
Geoffrey William Humpage,24-04-1954,ENGLAND,Right-hand bat,Right-arm medium,"June 4,1981",England v Australia,3,2,11,0,6,5.500,24,45.83,0,0,0,0,2,0,--,--,--,--,--,--,--,--,,
Geoffrey Miller,08-09-1952,ENGLAND,Right-hand bat,Off-break,"June 6,1977",England v Australia,25,18,136,2,46,8.500,265,51.32,0,0,12,0,4,0,1242,813,25,32.52,3.927,49.68,0,0,3/21,3/27
Geoffrey Boycott,21-10-1940,ENGLAND,Right-hand bat,Right-arm medium,"January 5,1971",Australia v England,36,34,1082,4,105,36.06,2020,53.56,1,9,84,0,5,0,168,105,5,21.00,3.750,33.60,0,0,2/14,2/14
Geraint Owen Jones,14-07-1976,PAPUA NEW GUINEA,Right-hand bat,Right-arm medium,"June 27,2004",England v West Indies,51,43,862,8,80,24.62,1117,77.17,0,4,74,14,68,4,--,--,--,--,--,--,--,--,,
Gladstone Cleophas Small,18-10-1961,ENGLAND,Right-hand bat,Right-arm fast-medium,"January 1,1987",Australia v England,53,24,98,9,18*,6.533,188,52.12,0,0,7,0,7,0,2793,1942,58,33.48,4.171,48.15,0,0,4/31,4/31
Glen Chapple,23-01-1974,ENGLAND,Right-hand bat,Right-arm medium-fast,"June 13,2006",Ireland v England,1,1,14,0,14,14.00,7,200.0,0,0,1,1,--,--,24,14,0,--,3.500,--,0,0,0/14,0/14
Graeme Fowler,20-04-1957,ENGLAND,Left-hand bat,Right-arm medium,"January 20,1983",England v New Zealand,26,26,744,2,81*,31.00,1321,56.32,0,4,67,1,4,2,--,--,--,--,--,--,--,--,,
Graeme Ashley Hick,23-05-1966,ENGLAND,Right-hand bat,Off-break,"May 23,1991",England v West Indies,120,118,3846,15,126*,37.33,5191,74.08,5,27,278,41,64,0,1236,1026,30,34.20,4.980,41.20,1,0,5/33,5/28
Graeme Peter Swann,24-03-1979,ENGLAND,Right-hand bat,Off-break,"January 23,2000",South Africa v England,79,48,500,12,34,13.88,553,90.41,0,0,48,4,29,0,3809,2888,104,27.76,4.549,36.62,1,0,5/28,5/28
Graham Derek Barlow,26-03-1950,ENGLAND,Left-hand bat,Right-arm medium,"August 26,1976",England v West Indies,6,6,149,1,80*,29.80,255,58.43,0,1,18,0,4,0,--,--,--,--,--,--,--,--,,
Graham Roy Dilley,18-05-1959,ENGLAND,Left-hand bat,Right-arm fast,"November 28,1979",England v West Indies,36,18,114,8,31*,11.40,133,85.71,0,0,11,0,4,0,2043,1291,48,26.89,3.791,42.56,0,0,4/23,4/23
Graham Alan Gooch,23-07-1953,ENGLAND,Right-hand bat,Right-arm medium,"August 26,1976",England v West Indies,125,122,4290,6,142,36.98,6933,61.87,8,23,406,15,45,0,2064,1516,36,42.11,4.407,57.33,0,0,3/19,3/19
Graham David Lloyd,01-07-1969,ENGLAND,Right-hand bat,Right-arm medium,"August 29,1996",England v Pakistan,6,5,39,1,22,9.750,80,48.75,0,0,1,0,2,0,--,--,--,--,--,--,--,--,,
Graham Onions,09-09-1982,ENGLAND,Right-hand bat,Right-arm medium-fast,"September 20,2009",England v Australia,4,1,1,0,1*,1.000,2,50.00,0,0,0,0,1,0,204,185,4,46.25,5.441,51.00,0,0,2/46,2/58
Graham Richard James Roope,12-07-1946,ENGLAND,Right-hand bat,Right-arm medium,"July 18,1973",England v New Zealand,8,8,173,0,44,21.62,342,50.58,0,0,7,2,2,0,--,--,--,--,--,--,--,--,,
Graham Barry Stevenson,16-12-1955,ENGLAND,Right-hand bat,Right-arm medium,"January 14,1980",Australia v England,4,4,43,3,28*,43.00,56,76.78,0,0,4,0,2,0,192,125,7,17.85,3.906,27.42,0,0,4/33,4/33
Graham Paul Thorpe,01-08-1969,ENGLAND,Left-hand bat,Right-arm medium,"May 19,1993",England v Australia,82,77,2380,13,89,37.18,3344,71.17,0,21,172,5,42,0,120,97,2,48.50,4.850,60.00,0,0,2/15,2/15
John Gregory Thomas,12-08-1960,ENGLAND,Right-hand bat,Right-arm fast,"February 18,1986",West Indies v England,3,3,1,2,1*,1.000,7,14.28,0,0,0,0,--,--,156,144,3,48.00,5.538,52.00,0,0,2/59,2/59
Harry Frederick Gurney,25-10-1986,ENGLAND,Right-hand bat,Left-arm medium-fast,"May 9,2014",Scotland v England,10,6,15,4,6*,7.500,33,45.45,0,0,1,0,1,0,455,432,11,39.27,5.696,41.36,0,--,,
Ian David Austin,30-05-1966,ENGLAND,Left-hand bat,Right-arm medium,"August 16,1998",England v Sri Lanka,9,6,34,1,11*,6.800,49,69.38,0,0,2,0,--,--,475,360,6,60.00,4.547,79.16,0,0,2/25,2/25
Ian Ronald Bell,11-04-1982,ENGLAND,Right-hand bat,Right-arm medium,"November 28,2004",Zimbabwe v England,161,157,5416,14,141,37.87,7020,77.15,4,35,524,32,54,0,88,88,6,14.66,6.000,14.66,0,0,3/9,3/9
Ian David Blackwell,10-06-1978,ENGLAND,Left-hand bat,Slow left-arm,"September 18,2002",England v Zimbabwe,34,29,403,2,82,14.92,465,86.66,0,1,38,9,8,0,1230,877,24,36.54,4.278,51.25,0,0,3/26,3/26
Ian Terence Botham,24-11-1955,ENGLAND,Right-hand bat,Right-arm fast-medium,"August 26,1976",England v West Indies,116,106,2113,15,79,23.21,2671,79.10,0,9,197,44,36,0,6199,4139,145,28.54,4.006,42.75,0,0,4/29,4/31
Ian James Gould,19-08-1957,ENGLAND,Left-hand bat,NaN,"January 15,1983",England v New Zealand,18,14,155,2,42,12.91,243,63.78,0,0,5,0,15,3,--,--,--,--,--,--,--,--,,
Ian David Kenneth Salisbury,21-01-1970,ENGLAND,Right-hand bat,Leg-break googly,"January 21,1993",India v England,4,2,7,1,5,7.000,12,58.33,0,0,0,0,1,0,186,177,5,35.40,5.709,37.20,0,0,3/41,3/41
Clifton James Richards,10-08-1958,ENGLAND,Right-hand bat,Right-arm medium,"November 25,1981",India v England,22,16,154,3,50,11.84,264,58.33,0,1,7,0,16,1,--,--,--,--,--,--,--,--,,
Jade Winston Dernbach,03-03-1986,ENGLAND,Right-hand bat,Right-arm fast-medium,"June 28,2011",England v Sri Lanka,24,8,19,1,5,2.714,39,48.71,0,0,1,0,5,0,1234,1308,31,42.19,6.359,39.80,0,0,4/22,4/22
James Michael Anderson,30-07-1982,ENGLAND,Left-hand bat,Right-arm fast-medium,"December 15,2002",Australia v England,194,79,275,43,28,7.638,561,49.01,0,0,23,0,53,0,9584,7861,269,29.22,4.921,35.62,2,0,5/16,5/23
James Savin Foster,15-04-1980,ENGLAND,Right-hand bat,NaN,"October 3,2001",Zimbabwe v England,11,6,41,3,13,13.66,71,57.74,0,0,0,0,13,7,--,--,--,--,--,--,--,--,,
Robert James Kirtley,10-01-1975,ENGLAND,Right-hand bat,Right-arm fast-medium,"October 3,2001",Zimbabwe v England,11,2,2,0,1,1.000,11,18.18,0,0,0,0,5,0,549,481,9,53.44,5.256,61.00,0,0,2/33,2/33
James William Arthur Taylor,06-01-1990,ENGLAND,Right-hand bat,Leg-break,"August 25,2011",Ireland v England,27,26,887,5,101,42.23,1107,80.12,1,7,69,12,7,0,--,--,--,--,--,--,--,--,,
James Cullum Tredwell,27-02-1982,ENGLAND,Left-hand bat,Off-break,"March 2,2010",Bangladesh v England,45,25,163,11,30,11.64,242,67.35,0,0,9,4,14,0,2104,1666,60,27.76,4.751,35.06,0,0,4/41,4/41
John James Whitaker,05-05-1962,ENGLAND,Right-hand bat,Off-break,"April 2,1987",England v India,2,2,48,1,44*,48.00,65,73.84,0,0,2,1,1,0,--,--,--,--,--,--,--,--,,
James William Murray Dalrymple,21-01-1981,ENGLAND,Right-hand bat,Off-break,"June 13,2006",Ireland v England,27,26,487,1,67,19.48,673,72.36,0,2,32,3,12,0,840,666,14,47.57,4.757,60.00,0,0,2/5,2/5
Jeremy Nicholas Snape,27-04-1973,ENGLAND,Right-hand bat,Off-break,"October 3,2001",Zimbabwe v England,10,7,118,3,38,29.50,173,68.20,0,0,6,0,5,0,529,403,13,31.00,4.570,40.69,0,0,3/43,3/43
James Derek Love,22-04-1955,ENGLAND,Right-hand bat,Right-arm medium,"June 4,1981",England v Australia,3,3,61,0,43,20.33,100,61.00,0,0,7,0,1,0,--,--,--,--,--,--,--,--,,
