Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Carl Gray Rackemann,03-06-1960,AUSTRALIA,Right-hand bat,Right-arm fast,"January 9,1983",Australia v New Zealand,52,18,34,6,9*,2.833,77,44.15,0,0,0,0,6,0,2791,1833,82,22.35,3.940,34.03,1,0,5/16,5/16
Christopher Austin Lynn,10-04-1990,BRISBANE HEAT,Right-hand bat,Slow left-arm,"January 13,2017",Australia v Pakistan,1,1,16,0,16,16.00,12,133.3,0,0,0,1,--,--,--,--,--,--,--,--,--,--,,
Clinton James McKay,22-02-1983,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"November 5,2009",India v Australia,59,31,190,10,30,9.047,337,56.37,0,0,15,2,7,0,2965,2364,97,24.37,4.783,30.56,2,0,5/28,5/28
Craig John McDermott,14-04-1965,AUSTRALIA,Right-hand bat,Right-arm fast,"January 6,1985",Australia v West Indies,138,78,432,17,37,7.082,492,87.80,0,0,36,8,27,0,7461,5018,203,24.71,4.035,36.75,1,0,5/42,5/44
Craig Stanton Serjeant,01-11-1951,AUSTRALIA,Right-hand bat,NaN,"June 2,1977",England v Australia,3,3,73,0,46,24.33,158,46.20,0,0,7,1,1,0,--,--,--,--,--,--,--,--,,
Damien William Fleming,24-04-1970,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"January 16,1994",Australia v South Africa,88,31,152,18,29,11.69,221,68.77,0,0,9,1,14,0,4619,3402,134,25.38,4.419,34.47,1,0,5/30,5/36
Damien Richard Martyn,21-10-1971,AUSTRALIA,Right-hand bat,Right-arm medium,"December 8,1992",Australia v West Indies,208,182,5346,51,144*,40.80,6877,77.73,5,37,441,22,69,0,794,704,12,58.66,5.319,66.16,0,0,2/21,2/21
Daniel Trevor Christian,04-05-1983,BRISBANE HEAT,Right-hand bat,Right-arm fast-medium,"February 5,2012",Australia v India,19,18,273,5,39,21.00,307,88.92,0,0,23,3,10,0,727,595,20,29.75,4.910,36.35,1,0,5/31,5/31
Daniel James Cullen,10-04-1984,AUSTRALIA,Right-hand bat,Off-break,"April 23,2006",Bangladesh v Australia,5,1,2,1,2*,--,3,66.66,0,0,0,0,2,0,213,147,2,73.50,4.140,106.5,0,0,2/25,2/25
Darren Scott Lehmann,05-02-1970,AUSTRALIA,Left-hand bat,Slow left-arm,"August 30,1996",Sri Lanka v Australia,117,101,3078,22,119,38.96,3786,81.29,4,17,227,14,26,0,1793,1445,52,27.78,4.835,34.48,0,0,4/7,4/7
Davenell Frederick Whatmore,16-03-1954,AUSTRALIA,Right-hand bat,NaN,"January 18,1980",Australia v West Indies,1,1,2,0,2,2.000,6,33.33,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
David Robert Gilbert,29-12-1960,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"January 9,1986",Australia v New Zealand,14,8,39,3,8,7.800,102,38.23,0,0,1,0,3,0,684,552,18,30.66,4.842,38.00,1,0,5/46,5/46
David Clarence Boon,29-12-1960,AUSTRALIA,Right-hand bat,Off-break,"February 12,1984",Australia v West Indies,181,177,5964,16,122,37.04,9145,65.21,5,37,494,16,45,0,82,86,0,--,6.292,--,0,0,0/0,0/0
David John Colley,15-03-1947,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"August 26,1972",England v Australia,1,0,0,0,0,--,0,--,0,0,0,0,--,--,66,72,0,--,6.545,--,0,0,0/8,0/50
David William Hookes,03-05-1955,AUSTRALIA,Left-hand bat,"Left-arm medium, Slow left-arm","June 2,1977",England v Australia,39,36,826,2,76,24.29,1143,72.26,0,5,73,13,11,0,29,28,1,28.00,5.793,29.00,0,0,1/2,1/2
David John Hussey,15-07-1977,AUSTRALIA,Right-hand bat,Off-break,"July 4,2008",West Indies v Australia,69,61,1796,6,111,32.65,1980,90.70,1,14,130,30,29,0,802,698,18,38.77,5.221,44.55,0,0,4/21,4/21
David Andrew Warner,27-10-1986,AUSTRALIA,Left-hand bat,Leg-break,"January 18,2009",Australia v South Africa,106,104,4343,4,179,43.43,4498,96.55,14,17,454,70,49,0,6,8,0,--,8.000,--,0,0,0/3,0/3
Dean Mervyn Jones,24-03-1961,AUSTRALIA,Right-hand bat,Right-arm medium,"January 30,1984",Australia v Pakistan,164,161,6068,25,145,44.61,8362,72.56,7,46,379,63,54,0,106,81,3,27.00,4.584,35.33,0,0,2/34,2/34
Dennis Keith Lillee,18-07-1949,AUSTRALIA,Right-hand bat,Right-arm fast,"August 24,1972",England v Australia,63,34,240,8,42*,9.230,320,75.00,0,0,17,1,10,0,3577,2145,103,20.82,3.598,34.72,1,0,5/15,5/34
Dirk MacDonald Wellham,13-03-1959,AUSTRALIA,Right-hand bat,NaN,"December 17,1981",Australia v Pakistan,17,17,379,2,97,25.26,699,54.22,0,1,16,0,8,0,--,--,--,--,--,--,--,--,,
Douglas Erwin Bollinger,24-07-1981,HOBART HURRICANES,Left-hand bat,Left-arm fast-medium,"April 24,2009",Australia v Pakistan,39,8,50,2,30,8.333,54,92.59,0,0,5,0,12,0,1942,1482,62,23.90,4.578,31.32,2,0,5/28,5/35
Kevin Douglas Walters,21-12-1945,AUSTRALIA,Right-hand bat,Right-arm medium,"January 5,1971",Australia v England,28,24,513,6,59,28.50,732,70.08,0,2,37,0,10,0,294,273,4,68.25,5.571,73.50,0,0,2/13,2/19
Fawad Ahmed Khan,10-03-1979,AUSTRALIA,Right-hand bat,Leg-break,"September 3,2013",Scotland v Australia,3,1,4,1,4*,--,2,200.0,0,0,1,0,--,--,144,145,3,48.33,6.041,48.00,0,0,1/39,1/39
Graham Douglas McKenzie,24-06-1941,AUSTRALIA,Right-hand bat,Right-arm fast,"January 5,1971",Australia v England,1,0,0,0,0*,--,0,--,0,0,0,0,1,0,46,22,2,11.00,2.869,23.00,0,0,2/19,2/22
Gary John Cosier,25-04-1953,AUSTRALIA,Right-hand bat,Right-arm medium,"December 20,1975",Australia v West Indies,9,7,154,2,84,30.80,166,92.77,0,1,15,2,4,0,367,248,14,17.71,4.054,26.21,1,0,5/18,5/18
Gary John Gilmour,26-06-1951,AUSTRALIA,Left-hand bat,Left-arm fast-medium,"March 30,1974",New Zealand v Australia,5,2,42,1,28*,42.00,39,107.6,0,0,7,0,2,0,276,165,16,10.31,3.587,17.25,2,0,6/14,6/14
Gavin Ron Robertson,28-05-1966,AUSTRALIA,Right-hand bat,Off-break,"September 13,1994",Sri Lanka v Australia,13,7,45,4,15,15.00,55,81.81,0,0,2,0,3,0,597,430,8,53.75,4.321,74.62,0,0,3/28,3/29
Geoffrey Dymock,21-07-1945,AUSTRALIA,Left-hand bat,Left-arm fast-medium,"March 30,1974",New Zealand v Australia,15,7,35,4,14*,11.66,82,42.68,0,0,1,0,1,0,738,412,15,27.46,3.349,49.20,0,0,2/21,2/21
Geoffrey Francis Lawson,07-12-1957,AUSTRALIA,Right-hand bat,Right-arm fast,"November 23,1980",Australia v New Zealand,79,52,378,18,33*,11.11,479,78.91,0,0,18,4,18,0,4259,2592,88,29.45,3.651,48.39,0,0,4/26,4/26
Geoffrey Robert Marsh,31-12-1958,AUSTRALIA,Right-hand bat,NaN,"January 14,1986",Australia v New Zealand,117,115,4357,6,126*,39.97,7790,55.93,9,22,302,22,31,0,6,4,0,--,4.000,--,0,0,0/4,0/4
George John Bailey,07-09-1982,WORLD XI,Right-hand bat,Right-arm medium,"March 16,2012",West Indies v Australia,90,85,3044,10,156,40.58,3645,83.51,3,22,222,57,48,0,--,--,--,--,--,--,--,--,,
Glenn Andrew Bishop,25-02-1960,AUSTRALIA,Right-hand bat,NaN,"January 2,1987",Australia v Pakistan,2,2,13,0,7,6.500,44,29.54,0,0,1,0,1,0,--,--,--,--,--,--,--,--,,
Glenn James Maxwell,14-10-1988,AUSTRALIA,Right-hand bat,Off-break,"August 25,2012",Afghanistan v Australia,81,72,2069,8,102,32.32,1681,123.0,1,15,207,70,50,0,1906,1765,45,39.22,5.556,42.35,0,0,4/46,4/46
Glenn Donald McGrath,09-02-1970,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"December 9,1993",Australia v South Africa,250,68,115,38,11*,3.833,236,48.72,0,0,7,0,37,0,12970,8391,381,22.02,3.881,34.04,7,0,7/15,7/15
Glenn Samuel Trimble,01-01-1963,AUSTRALIA,Right-hand bat,Right-arm medium,"January 19,1986",Australia v New Zealand,2,2,4,1,4,4.000,5,80.00,0,0,1,0,--,--,24,32,0,--,8.000,--,0,0,0/32,0/32
Graeme Robert Beard,19-08-1950,AUSTRALIA,Right-hand bat,"Right-arm medium, Off-break","January 31,1981",Australia v New Zealand,2,0,0,0,0,--,0,--,0,0,0,0,--,--,112,70,4,17.50,3.750,28.00,0,0,2/20,2/20
Graeme David Porter,18-03-1955,AUSTRALIA,Right-hand bat,Right-arm medium,"June 13,1979",Australia v Pakistan,2,1,3,0,3,3.000,9,33.33,0,0,0,0,1,0,108,33,3,11.00,1.833,36.00,0,0,2/13,2/13
Graeme Donald Watson,08-03-1945,AUSTRALIA,Right-hand bat,Right-arm medium,"August 24,1972",England v Australia,2,2,11,1,11*,11.00,16,68.75,0,0,2,0,--,--,48,28,2,14.00,3.500,24.00,0,0,2/28,2/28
Graeme Malcolm Wood,06-11-1956,AUSTRALIA,Left-hand bat,Right-arm medium,"February 22,1978",West Indies v Australia,83,77,2219,11,114*,33.62,3692,60.10,3,11,171,3,17,0,--,--,--,--,--,--,--,--,,
Graham Allan Manou,23-04-1979,AUSTRALIA,Right-hand bat,NaN,"October 31,2009",India v Australia,4,1,7,0,7,7.000,6,116.6,0,0,0,0,5,0,--,--,--,--,--,--,--,--,,
Graham Neil Yallop,07-10-1952,AUSTRALIA,Left-hand bat,Left-arm medium,"February 22,1978",West Indies v Australia,30,27,823,6,66*,39.19,1257,65.47,0,7,64,3,5,0,138,119,3,39.66,5.173,46.00,0,0,2/28,2/28
Gregory Scott Blewett,28-10-1971,AUSTRALIA,Right-hand bat,Right-arm medium,"February 15,1995",Australia v South Africa,32,30,551,3,57*,20.40,889,61.97,0,2,35,3,7,0,749,646,14,46.14,5.174,53.50,0,0,2/6,2/6
Gregory Dale Campbell,10-03-1964,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"December 26,1989",Australia v Sri Lanka,12,3,6,1,4*,3.000,19,31.57,0,0,0,0,4,0,613,404,18,22.44,3.954,34.05,0,0,3/17,3/17
Gregory Stephen Chappell,07-08-1948,AUSTRALIA,Right-hand bat,"Leg-break, Right-arm medium","January 5,1971",Australia v England,74,72,2331,14,138*,40.18,3079,75.70,3,14,195,7,23,0,3074,2097,72,29.12,4.093,42.69,2,0,5/15,5/15
Gregory Charles Dyer,16-03-1959,AUSTRALIA,Right-hand bat,NaN,"September 24,1986",India v Australia,23,13,174,2,45*,15.81,227,76.65,0,0,8,4,24,4,--,--,--,--,--,--,--,--,,
Gregory Richard John Matthews,15-12-1959,AUSTRALIA,Left-hand bat,Off-break,"January 8,1984",Australia v West Indies,59,50,619,13,54,16.72,911,67.94,0,1,23,3,23,0,2808,2004,57,35.15,4.282,49.26,0,0,3/27,3/27
Gregory Michael Ritchie,23-01-1960,AUSTRALIA,Right-hand bat,Right-arm medium,"October 8,1982",Pakistan v Australia,44,42,959,7,84,27.40,1479,64.84,0,6,55,6,9,0,--,--,--,--,--,--,--,--,,
Ian Wayne Callen,02-05-1955,AUSTRALIA,Left-hand bat,Right-arm fast-medium,"February 22,1978",West Indies v Australia,5,3,6,2,3*,6.000,13,46.15,0,0,0,0,2,0,180,148,5,29.60,4.933,36.00,0,0,3/24,3/24
Ian Michael Chappell,26-09-1943,AUSTRALIA,Right-hand bat,Leg-break,"January 5,1971",Australia v England,16,16,673,2,86,48.07,874,77.00,0,8,74,7,5,0,42,23,2,11.50,3.285,21.00,0,0,2/14,2/14
Ian Charles Davis,25-06-1953,AUSTRALIA,Right-hand bat,NaN,"March 30,1974",New Zealand v Australia,3,3,12,1,11*,6.000,35,34.28,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
Ian Joseph Harvey,10-04-1972,AUSTRALIA,Right-hand bat,Right-arm medium,"December 4,1997",Australia v South Africa,73,51,715,11,48*,17.87,811,88.16,0,0,65,8,17,0,3279,2577,85,30.31,4.715,38.57,0,0,4/16,4/16
Ian Andrew Healy,30-04-1964,AUSTRALIA,Right-hand bat,NaN,"October 14,1988",Pakistan v Australia,168,120,1764,36,56,21.00,2104,83.84,0,4,77,5,194,39,--,--,--,--,--,--,--,--,,
Ian Ritchie Redpath,11-05-1941,AUSTRALIA,Right-hand bat,Right-arm medium,"January 5,1971",Australia v England,5,5,46,0,24,9.200,67,68.65,0,0,1,0,2,0,--,--,--,--,--,--,--,--,,
James Peter Faulkner,29-04-1990,AUSTRALIA,Right-hand bat,Left-arm medium-fast,"February 1,2013",Australia v West Indies,69,52,1032,22,116,34.40,990,104.2,1,4,83,29,21,0,3211,2963,96,30.86,5.536,33.44,0,0,4/32,4/32
James Redfern Hopes,24-10-1978,BRISBANE HEAT,Right-hand bat,Right-arm medium,"March 1,2005",New Zealand v Australia,84,61,1326,8,63*,25.01,1415,93.71,0,3,123,6,25,0,3157,2384,67,35.58,4.530,47.11,1,0,5/14,5/14
James Lee Pattinson,03-05-1990,AUSTRALIA,Left-hand bat,Right-arm fast-medium,"April 13,2011",Bangladesh v Australia,15,8,42,4,13,10.50,80,52.50,0,0,2,0,3,0,727,681,16,42.56,5.620,45.43,0,0,4/43,4/51
James Darren Siddons,25-04-1964,AUSTRALIA,Right-hand bat,Leg-break googly,"October 14,1988",Pakistan v Australia,1,1,32,0,32,32.00,37,86.48,0,0,3,0,--,--,--,--,--,--,--,--,--,--,,
Jason Neil Gillespie,19-04-1975,AUSTRALIA,Right-hand bat,Right-arm fast,"August 30,1996",Sri Lanka v Australia,97,39,289,16,44*,12.56,367,78.74,0,0,16,6,10,0,5144,3611,142,25.42,4.211,36.22,3,0,5/22,5/22
Jason John Krejza,14-01-1983,AUSTRALIA,Right-hand bat,Off-break,"February 6,2011",Australia v England,8,2,13,1,7,13.00,23,56.52,0,0,0,0,2,0,425,331,7,47.28,4.672,60.71,0,0,2/28,2/28
Jeffrey Robert Hammond,19-04-1950,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"August 28,1972",England v Australia,1,1,15,1,15*,--,28,53.57,0,0,1,0,--,--,54,41,1,41.00,4.555,54.00,0,0,1/7,1/19
Jeffrey Kenneth Moss,29-06-1947,AUSTRALIA,Left-hand bat,NaN,"June 13,1979",Australia v Pakistan,1,1,7,0,7,7.000,16,43.75,0,0,0,0,2,0,--,--,--,--,--,--,--,--,,
Jeffrey Robert Thomson,16-08-1950,AUSTRALIA,Right-hand bat,Right-arm fast,"January 1,1975",Australia v England,50,30,181,6,21,7.541,274,66.05,0,0,9,2,9,0,2682,1942,55,35.30,4.344,48.76,0,0,4/41,4/67
James Patrick Maher,27-02-1974,AUSTRALIA,Left-hand bat,Right-arm medium,"January 14,1998",Australia v New Zealand,26,20,438,3,95,25.76,673,65.08,0,1,40,7,18,0,--,--,--,--,--,--,--,--,,
Jo Angel,22-04-1968,AUSTRALIA,Left-hand bat,Right-arm fast,"September 13,1994",Sri Lanka v Australia,3,1,0,0,0,0.000,3,0.000,0,0,0,0,--,--,162,113,4,28.25,4.185,40.50,0,0,2/47,2/47
Joel Samuel Paris,11-12-1992,AUSTRALIA,Left-hand bat,Left-arm fast-medium,"January 12,2016",Australia v India,2,0,0,0,0,--,0,--,0,0,0,0,1,0,96,93,1,93.00,5.812,96.00,0,--,,
John Dyson,11-06-1954,AUSTRALIA,Right-hand bat,Right-arm slow-medium,"August 22,1980",England v Australia,29,27,755,4,79,32.82,1553,48.61,0,4,55,2,12,0,--,--,--,--,--,--,--,--,,
John Wayne Hastings,04-11-1985,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"October 20,2010",India v Australia,29,21,271,11,51,27.10,273,99.26,0,1,29,8,5,0,1486,1256,42,29.90,5.071,35.38,1,0,2/6,2/6
John Alexander Maclean,27-04-1946,AUSTRALIA,Right-hand bat,NaN,"January 13,1979",Australia v England,2,1,11,0,11,11.00,33,33.33,0,0,2,0,--,--,--,--,--,--,--,--,--,--,,
John Norman Maguire,15-09-1956,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"January 23,1983",Australia v England,23,11,42,5,14*,7.000,71,59.15,0,0,1,0,2,0,1009,769,19,40.47,4.572,53.10,0,0,3/61,3/61
Josh Reginald Hazlewood,08-01-1991,AUSTRALIA,Left-hand bat,Right-arm fast-medium,"June 22,2010",England v Australia,41,10,21,8,11*,10.50,36,58.33,0,0,4,0,12,0,2126,1675,69,24.27,4.727,30.81,3,0,1/9,1/9
Julien Mark Wiener,01-05-1955,AUSTRALIA,Right-hand bat,Off-break,"December 8,1979",Australia v England,7,7,140,0,50,20.00,324,43.20,0,1,12,0,2,0,24,34,0,--,8.500,--,0,0,0/16,0/16
Justin Lee Langer,21-11-1970,AUSTRALIA,Left-hand bat,Right-arm medium,"April 14,1994",Australia v Sri Lanka,8,7,160,2,36,32.00,180,88.88,0,0,13,4,2,1,--,--,--,--,--,--,--,--,,
Kane William Richardson,12-02-1991,AUSTRALIA,Right-hand bat,Right-arm medium-fast,"January 13,2013",Australia v Sri Lanka,15,5,30,2,19,10.00,26,115.3,0,0,2,2,2,0,779,698,21,33.23,5.376,37.09,1,0,0/15,0/15
Keith Raymond Stackpole,10-07-1940,AUSTRALIA,Right-hand bat,Leg-break,"January 5,1971",Australia v England,6,6,224,0,61,37.33,387,57.88,0,3,28,0,1,0,61,54,3,18.00,5.311,20.33,0,0,3/40,3/40
Kenneth Hervey MacLeay,02-04-1959,AUSTRALIA,Right-hand bat,Right-arm medium,"January 31,1983",Australia v New Zealand,16,13,139,2,41,12.63,163,85.27,0,0,7,3,2,0,857,626,15,41.73,4.382,57.13,1,0,6/39,6/39
