Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Average,Balls faced,Stick rate,100s,50s,4s,6s,Ct,St,B,R,Wickets,Avg,EC,SR,5WI,10WM,BBI,BBM
Gerhardus Frederick Johannes Liebenberg,07-04-1972,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"October 22,1995",Zimbabwe v South Africa,4,4,94,0,39,23.50,199,47.23,0,0,8,0,--,--,--,--,--,--,--,--,--,--,,
Graeme Craig Smith,01-02-1981,SOUTH AFRICA,Left-hand bat,Off-break,"March 30,2002",South Africa v Australia,197,194,6989,10,141,37.98,8648,80.81,10,47,788,44,105,0,1026,951,18,52.83,5.561,57.00,0,0,3/30,3/30
Gulam Hussain Bodi,04-01-1979,SOUTH AFRICA,Left-hand bat,Chinaman,"December 16,2007",South Africa v West Indies,2,2,83,0,51,41.50,132,62.87,0,1,9,1,1,0,6,8,0,--,8.000,--,0,0,0/8,0/8
Wessel Johannes Cronje,25-09-1969,SOUTH AFRICA,Right-hand bat,Right-arm medium,"February 26,1992",Australia v South Africa,188,175,5565,31,112,38.64,7276,76.48,2,39,365,94,73,0,5357,3966,114,34.78,4.442,46.99,1,0,5/32,5/32
Hashim Mahomed Amla,31-03-1983,WORLD XI,Right-hand bat,Right-arm medium,"March 9,2008",Bangladesh v South Africa,164,161,7535,11,159,50.23,8475,88.90,26,35,761,51,81,0,--,--,--,--,--,--,--,--,,
Heino Gunther Kuhn,01-04-1984,SOUTH AFRICA,Right-hand bat,NaN,"November 15,2009",South Africa v England,0,--,--,--,--,--,--,--,--,--,--,--,--,ODIs,--,--,--,--,--,--,--,,,
Henry Davids,19-01-1980,CAPE COBRAS,Right-hand bat,Right-arm medium-fast,"December 21,2012",South Africa v New Zealand,2,2,8,0,7,4.000,24,33.33,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
Herschelle Herman Gibbs,23-02-1974,CAPE COBRAS,Right-hand bat,Leg-break,"October 3,1996",Kenya v South Africa,248,240,8094,16,175,36.13,9723,83.24,21,37,930,128,108,0,--,--,--,--,--,--,--,--,,
Mohammad Imran Tahir,27-03-1979,WORLD XI,Right-hand bat,Leg-break googly,"February 24,2011",South Africa v West Indies,85,28,128,12,29*,8.000,182,70.32,0,0,18,1,17,0,4419,3449,139,24.81,4.683,31.79,2,0,4/21,4/21
Jacques Henry Kallis,16-10-1975,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"January 9,1996",South Africa v England,328,314,11579,53,139*,44.36,15883,72.90,17,86,911,137,131,0,10750,8680,273,31.79,4.844,39.37,2,0,5/21,5/30
Jacobus Andries Rudolph,04-05-1981,SOUTH AFRICA,Left-hand bat,Leg-break googly,"April 13,2003",India v South Africa,45,39,1174,6,81,35.57,1727,67.97,0,7,109,5,11,0,24,26,0,--,6.500,--,0,0,0/0,0/0
Stephen James Cook,31-07-1953,SOUTH AFRICA,Right-hand bat,Off-break,"November 10,1991",India v South Africa,4,4,67,0,35,16.75,118,56.77,0,0,4,0,1,0,--,--,--,--,--,--,--,--,,
Johan Botha,02-05-1982,SOUTH AFRICA,Right-hand bat,Off-break,"November 16,2005",India v South Africa,78,50,609,18,46,19.03,710,85.77,0,0,56,3,36,0,3823,2916,72,40.50,4.576,53.09,0,0,4/19,4/19
Johannes Jacobus van der Wath,10-01-1978,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"February 24,2006",South Africa v Australia,10,8,89,2,37*,14.83,70,127.1,0,0,3,8,3,0,526,551,13,42.38,6.285,40.46,0,0,2/21,2/21
Johann Louw,12-04-1979,SOUTH AFRICA,Right-hand bat,Right-arm medium-fast,"November 5,2008",South Africa v Bangladesh,3,1,23,0,23,23.00,7,328.5,0,0,1,3,--,--,156,148,2,74.00,5.692,78.00,0,0,1/45,1/45
Athanasios John Traicos,17-05-1947,ZIMBABWE,Right-hand bat,Off-break,"June 9,1983",Australia v Zimbabwe,27,17,88,9,19,11.00,175,50.28,0,0,3,0,3,0,1524,987,19,51.94,3.885,80.21,0,0,3/35,3/35
Jonathan Neil Rhodes,27-07-1969,SOUTH AFRICA,Right-hand bat,Right-arm medium,"February 26,1992",Australia v South Africa,245,220,5935,51,121,35.11,7335,80.91,2,33,392,47,105,0,14,4,0,--,1.714,--,0,0,0/0,0/0
Jean-Paul Duminy,14-04-1984,CAPE COBRAS,Left-hand bat,Off-break,"August 20,2004",Sri Lanka v South Africa,184,166,4767,37,150*,36.95,5732,83.16,4,25,316,65,76,0,3237,2891,65,44.47,5.358,49.80,0,0,3/18,3/18
Juan Theron,24-07-1985,SOUTH AFRICA,Right-hand bat,Right-arm medium-fast,"October 8,2010",South Africa v Zimbabwe,4,1,5,0,5,5.000,5,100.0,0,0,0,0,4,0,194,173,12,14.41,5.350,16.16,1,0,5/44,5/44
Justin Miles Kemp,02-10-1977,CAPE COBRAS,Right-hand bat,Right-arm fast-medium,"January 14,2001",South Africa v Sri Lanka,85,66,1512,18,100*,31.50,1819,83.12,1,10,98,60,33,0,1303,1015,32,31.71,4.673,40.71,0,0,3/12,3/12
Justin Lee Ontong,04-01-1980,CAPE COBRAS,Right-hand bat,"Off-break, Leg-break","April 28,2001",West Indies v South Africa,28,16,184,2,32,13.14,267,68.91,0,0,18,1,15,0,538,396,9,44.00,4.416,59.77,0,0,3/30,3/30
Kagiso Rabada,25-05-1995,SOUTH AFRICA,Left-hand bat,Right-arm fast,"July 10,2015",Bangladesh v South Africa,48,20,177,9,26,16.09,221,80.09,0,0,15,4,13,0,2428,2068,75,27.57,5.110,32.37,1,--,,
Kepler Christoffel Wessels,14-09-1957,SOUTH AFRICA,Left-hand bat,"Right-arm medium, Off-break","January 9,1983",Australia v New Zealand,109,105,3367,7,107,34.35,6090,55.28,1,26,263,2,49,0,749,666,18,37.00,5.335,41.61,0,0,2/16,2/16
Kyle John Abbott,18-06-1987,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"March 10,2013",South Africa v Pakistan,28,13,76,4,23,8.444,126,60.31,0,0,6,0,7,0,1303,1051,34,30.91,4.839,38.32,0,0,1/5,1/5
Lance Klusener,04-09-1971,SOUTH AFRICA,Left-hand bat,Right-arm fast-medium,"January 19,1996",South Africa v England,171,137,3576,50,103*,41.10,3977,89.91,2,19,293,76,35,0,7336,5751,192,29.95,4.703,38.20,6,0,6/49,6/49
Lonwabo Lennox Tsotsobe,07-03-1984,SOUTH AFRICA,Right-hand bat,Left-arm fast-medium,"January 30,2009",Australia v South Africa,61,21,56,13,16*,7.000,109,51.37,0,0,7,1,9,0,2964,2347,94,24.96,4.751,31.53,0,0,4/22,4/22
Lungile Edgar Bosman,14-04-1977,SOUTH AFRICA,Right-hand bat,Right-arm medium,"February 24,2006",South Africa v Australia,14,12,301,0,88,25.08,305,98.68,0,2,37,9,3,0,--,--,--,--,--,--,--,--,,
Makhaya Ntini,06-07-1977,SOUTH AFRICA,Right-hand bat,Right-arm fast,"January 16,1998",New Zealand v South Africa,173,47,199,24,42*,8.652,298,66.77,0,0,16,6,30,0,8687,6559,266,24.65,4.530,32.65,4,0,6/22,6/22
Marchant de Lange,13-10-1990,SOUTH AFRICA,Right-hand bat,Right-arm fast,"March 3,2012",New Zealand v South Africa,4,0,0,0,0*,--,0,--,0,0,0,0,--,--,209,198,10,19.80,5.684,20.90,0,0,4/46,4/46
Mark Verdon Boucher,03-12-1976,SOUTH AFRICA,Right-hand bat,Right-arm medium,"January 16,1998",New Zealand v South Africa,295,221,4686,57,147*,28.57,5528,84.76,1,26,356,83,403,22,--,--,--,--,--,--,--,--,,
Mark Weir Rushmere,07-01-1965,SOUTH AFRICA,Right-hand bat,Right-arm medium,"March 2,1992",South Africa v Sri Lanka,4,4,78,0,35,19.50,174,44.82,0,0,4,0,1,0,--,--,--,--,--,--,--,--,,
Martin van Jaarsveld,18-06-1974,SOUTH AFRICA,Right-hand bat,Off-break,"October 6,2002",South Africa v Bangladesh,11,7,124,1,45,20.66,169,73.37,0,0,16,0,4,0,31,18,2,9.000,3.483,15.50,0,0,1/0,1/0
Meyrick Wayne Pringle,22-06-1966,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"February 26,1992",Australia v South Africa,17,8,48,3,13*,9.600,56,85.71,0,0,2,0,2,0,870,604,22,27.45,4.165,39.54,0,0,4/11,4/11
Monde Zondeki,25-07-1982,CAPE COBRAS,Right-hand bat,Right-arm fast,"December 6,2002",South Africa v Sri Lanka,13,3,4,2,3*,4.000,5,80.00,0,0,0,0,3,0,558,504,11,45.81,5.419,50.72,0,0,2/10,2/21
Morné Morkel,06-10-1984,WORLD XI,Left-hand bat,Right-arm fast-medium,"June 6,2007",Asian Cricket Council XI v African XI,117,47,268,18,32*,9.241,354,75.70,0,0,24,7,31,0,5760,4761,188,25.32,4.959,30.63,2,0,5/20,5/21
Morne Nico van Wyk,20-03-1979,SOUTH AFRICA,Right-hand bat,Slow left-arm,"February 2,2007",South Africa v Pakistan,17,17,425,1,82,26.56,617,68.88,0,4,48,4,10,1,--,--,--,--,--,--,--,--,,
Mornantau Hayward,06-03-1977,SOUTH AFRICA,Right-hand bat,Right-arm fast,"August 18,1998",England v South Africa,21,5,12,1,4,3.000,28,42.85,0,0,0,0,4,0,993,858,21,40.85,5.184,47.28,0,0,4/31,4/31
Neil Douglas McKenzie,24-11-1975,BARBADOS TRIDENTS,Right-hand bat,Right-arm medium,"February 2,2000",South Africa v Zimbabwe,64,55,1688,10,131*,37.51,2432,69.40,2,10,142,8,21,0,46,27,0,--,3.521,--,0,0,0/0,0/0
Nico Boje,20-03-1973,SOUTH AFRICA,Left-hand bat,Slow left-arm,"October 21,1995",Zimbabwe v South Africa,115,71,1414,18,129,26.67,1594,88.70,2,4,135,13,33,0,4541,3415,96,35.57,4.512,47.30,1,0,5/21,5/21
Omar Henry,23-01-1952,SOUTH AFRICA,Left-hand bat,Slow left-arm,"March 2,1992",South Africa v Sri Lanka,3,3,20,1,11,10.00,26,76.92,0,0,2,0,1,0,149,125,2,62.50,5.033,74.50,0,0,1/31,1/31
Patrick Leonard Symcox,14-04-1960,SOUTH AFRICA,Right-hand bat,Off-break,"August 22,1993",Sri Lanka v South Africa,80,54,694,13,61,16.92,830,83.61,0,3,48,22,23,0,3991,2762,72,38.36,4.152,55.43,0,0,4/28,4/28
Paul Regan Adams,20-01-1977,SOUTH AFRICA,Right-hand bat,Chinaman,"January 9,1996",South Africa v England,24,9,66,5,33*,16.50,124,53.22,0,0,5,0,7,0,1109,815,29,28.10,4.409,38.24,0,0,3/26,3/26
Paul Lee Harris,02-11-1978,SOUTH AFRICA,Right-hand bat,Slow left-arm,"March 9,2008",Bangladesh v South Africa,3,0,0,0,0,--,0,--,0,0,0,0,2,0,180,83,3,27.66,2.766,60.00,0,0,2/28,2/30
Peter Noel Kirsten,14-05-1955,SOUTH AFRICA,Right-hand bat,Off-break,"November 10,1991",India v South Africa,40,40,1293,6,97,38.02,2308,56.02,0,9,90,8,11,0,183,152,6,25.33,4.983,30.50,0,0,3/31,3/31
Pieter Coenraad Strydom,10-06-1969,SOUTH AFRICA,Right-hand bat,Slow left-arm,"January 21,2000",South Africa v Zimbabwe,10,8,48,3,34,9.600,94,51.06,0,0,2,0,3,0,252,206,2,103.0,4.904,126.0,0,0,1/18,1/18
Quinton de Kock,17-12-1992,SOUTH AFRICA,Left-hand bat,NaN,"January 19,2013",South Africa v New Zealand,90,90,3860,5,178,45.41,4107,93.98,13,15,436,55,116,6,--,--,--,--,--,--,--,--,,
Richard Peter Snell,12-09-1968,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"November 10,1991",India v South Africa,42,28,322,8,63,16.10,330,97.57,0,2,20,4,7,0,2095,1574,44,35.77,4.507,47.61,1,0,5/40,5/40
Robin John Peterson,04-08-1979,CAPE COBRAS,Left-hand bat,Slow left-arm,"September 25,2002",India v South Africa,79,41,556,14,68,20.59,688,80.81,0,1,51,5,28,0,3278,2680,75,35.73,4.905,43.70,0,0,4/12,4/12
Roelof Erasmus van der Merwe,31-12-1984,NETHERLANDS,Right-hand bat,Slow left-arm,"March 29,2009",South Africa v Australia,13,7,39,3,12,9.750,41,95.12,0,0,3,2,3,0,705,561,17,33.00,4.774,41.47,0,0,3/20,3/20
Roger Telemachus,27-03-1973,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"February 24,2006",South Africa v Australia,37,15,73,3,29,6.083,94,77.65,0,0,4,3,4,0,1918,1565,56,27.94,4.895,34.25,0,0,4/43,4/43
Rory Keith Kleinveldt,15-03-1983,CAPE COBRAS,Right-hand bat,Right-arm medium-fast,"January 19,2013",South Africa v New Zealand,10,7,105,0,43,15.00,124,84.67,0,0,9,5,4,0,513,448,12,37.33,5.239,42.75,0,0,4/22,4/22
Philippus Jeremia Rudolf Steyn,30-06-1967,SOUTH AFRICA,Right-hand bat,Right-arm medium,"October 22,1995",Zimbabwe v South Africa,1,1,4,0,4,4.000,14,28.57,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
Ryan McLaren,09-02-1983,SOUTH AFRICA,Left-hand bat,Right-arm medium-fast,"November 8,2009",South Africa v Zimbabwe,54,41,485,15,71*,18.65,680,71.32,0,1,42,6,13,0,2403,2102,77,27.29,5.248,31.20,0,0,4/19,4/19
Shaun Maclean Pollock,16-07-1973,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"January 9,1996",South Africa v England,303,205,3519,72,130,26.45,4058,86.71,1,14,248,58,108,0,15712,9631,393,24.50,3.677,39.97,5,0,6/30,6/35
Steven Elworthy,23-02-1965,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"April 3,1998",South Africa v Pakistan,39,16,100,8,23,12.50,160,62.50,0,0,10,1,9,0,1702,1235,44,28.06,4.353,38.68,0,0,3/17,3/17
Steven Douglas Jack,04-08-1970,SOUTH AFRICA,Right-hand bat,Right-arm fast,"December 15,1994",South Africa v Sri Lanka,2,2,7,0,6,3.500,8,87.50,0,0,0,0,3,0,108,86,3,28.66,4.777,36.00,0,0,2/32,2/41
Temba Bavuma,17-05-1990,SOUTH AFRICA,Right-hand bat,Right-arm medium,"September 25,2016",South Africa v Ireland,2,2,161,0,113,80.50,170,94.70,1,0,18,1,1,0,--,--,--,--,--,--,--,--,,
Tertius Bosch,14-03-1966,SOUTH AFRICA,Right-hand bat,Right-arm fast,"February 29,1992",New Zealand v South Africa,2,0,0,0,0*,--,0,--,0,0,0,0,--,--,51,66,0,--,7.764,--,0,0,0/19,0/19
Vaughn Bernard van Jaarsveld,02-02-1985,SOUTH AFRICA,Left-hand bat,Right-arm medium,"January 11,2009",Australia v South Africa,2,2,9,0,5,4.500,15,60.00,0,0,0,0,1,0,--,--,--,--,--,--,--,--,,
Vernon Darryl Philander,24-06-1985,CAPE COBRAS,Right-hand bat,Right-arm medium-fast,"June 24,2007",Ireland v South Africa,30,19,151,7,30*,12.58,213,70.89,0,0,14,0,6,0,1279,986,41,24.04,4.625,31.19,0,0,4/12,4/12
Wayne Dillon Parnell,30-07-1989,SOUTH AFRICA,Left-hand bat,Left-arm fast-medium,"January 30,2009",Australia v South Africa,65,38,508,14,56,21.16,648,78.39,0,1,39,8,12,0,2911,2738,94,29.12,5.643,30.96,2,0,5/48,5/48
