Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate.1,5WI,10WM,BBI,BBM
Craig Murray Spearman,1972-04-07,new zealand,Right-hand bat,Not-Bowled,1995-12-15,new zealand,51,50,936,0,86,18.72,1202,77.87,0,5,123,9,15,0,3,6,0,0.0,12.0,0.0,0,0,0/6,0/6
Daniel Raymond Flynn,1985-04-16,new zealand,Left-hand bat,Chinaman,2008-02-23,new zealand,20,17,228,2,35,15.2,360,63.33,0,0,23,2,4,0,24,25,0,0.0,6.25,0.0,0,0,0/0,0/0
Daniel Luca Vettori,1979-01-27,new zealand,Left-hand bat,Slow left-arm,1997-03-25,new zealand,295,187,2253,57,83,17.33,2719,82.86,0,4,175,15,88,0,14060,9674,305,31.71,4.128,46.09,2,0,5/7,5/7
Daniel Kyle Morrison,1966-03-02,new zealand,Right-hand bat,Right-arm fast-medium,1987-10-31,india,96,43,171,24,20,9.0,400,42.75,0,0,8,2,19,0,4586,3470,126,27.53,4.539,36.39,2,0,5/34,5/34
Darrin James Murray,1967-04-09,new zealand,Right-hand bat,Right-arm medium,1994-11-03,india,1,1,3,0,3,3.0,17,17.64,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Daryl Raymond Tuffey,1978-11-06,new zealand,Right-hand bat,Right-arm fast-medium,2000-09-27,zimbabwe,95,52,295,21,36,9.516,373,79.08,0,0,23,7,20,0,4333,3534,110,32.12,4.893,39.39,0,0,4/12,4/24
David Robert O'Sullivan,1944-11-16,new zealand,Right-hand bat,Slow left-arm,1974-03-30,new zealand,3,2,2,1,1,2.0,5,40.0,0,0,0,0,0,0,126,123,2,61.5,5.857,63.0,0,0,1/38,1/38
David John White,1961-06-26,new zealand,Right-hand bat,Off-break,1990-11-02,pakistan,3,3,37,0,15,12.33,97,38.14,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Dayle Robert Hadlee,1948-06-01,new zealand,Right-hand bat,Right-arm medium-fast,1973-02-11,new zealand,11,7,40,2,20,8.0,85,47.05,0,0,3,0,2,0,540,364,20,18.2,4.044,27.0,0,0,4/30,4/34
Dean Graham Brownlie,1984-07-30,new zealand,Right-hand bat,Right-arm medium,2012-02-03,new zealand,16,15,361,1,63,25.78,486,74.27,0,1,46,1,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Derek Alexander Stirling,1961-05-10,new zealand,Right-hand bat,Right-arm fast-medium,1984-03-31,sri lanka,6,5,21,2,13,7.0,39,53.84,0,0,1,0,3,0,246,207,6,34.5,5.048,41.0,0,0,2/29,2/29
Dion Joseph Nash,1971-11-20,new zealand,Right-hand bat,Right-arm fast-medium,1992-10-31,zimbabwe,81,53,624,13,42,15.6,940,66.38,0,0,28,5,25,0,3416,2622,64,40.96,4.605,53.37,0,0,4/38,4/38
Dipak Narshibhai Patel,1958-10-25,new zealand,Right-hand bat,Off-break,1987-03-18,new zealand,75,63,623,10,71,11.75,868,71.77,0,1,37,7,23,0,3251,2261,45,50.24,4.172,72.24,0,0,3/22,3/22
Douglas Andrew John Bracewell,1990-09-28,new zealand,Right-hand bat,Right-arm medium,2011-10-20,zimbabwe,16,9,79,2,30,11.28,135,58.51,0,0,4,0,3,0,794,667,22,30.31,5.04,36.09,0,0,3/18,3/25
Ervin Bruce McSweeney,1957-08-03,new zealand,Right-hand bat,Not-Bowled,1986-01-09,australia,16,14,73,5,18,8.111,119,61.34,0,0,3,2,14,3,0,0,0,0.0,0.0,0.0,0,0,0,0
Evan John Gray,1954-11-18,new zealand,Right-hand bat,Slow left-arm,1984-11-04,sri lanka,10,7,98,1,38,16.33,230,42.6,0,0,6,0,3,0,386,286,8,35.75,4.445,48.25,0,0,2/19,2/26
Ewen John Chatfield,1950-03-07,new zealand,Right-hand bat,Right-arm medium-fast,1979-06-16,new zealand,114,48,118,37,19,10.72,336,35.11,0,0,5,0,19,0,6065,3618,140,25.84,3.5789999999999997,43.32,1,0,5/34,5/34
Ewen Paul Thompson,1979-12-17,new zealand,Left-hand bat,Left-arm fast-medium,2009-03-11,new zealand,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,24,42,0,0.0,10.5,0.0,0,0,0/42,0/42
Gareth James Hopkins,1976-11-24,new zealand,Right-hand bat,Not-Bowled,2004-06-29, new zealand,26,17,236,1,45,14.75,312,75.64,0,0,19,2,27,1,0,0,0,0.0,0.0,0.0,0,0,0,0
Gary Keith Robertson,1960-07-15,new zealand,Right-hand bat,Right-arm fast-medium,1981-02-15,new zealand,10,6,49,0,17,8.166,48,102.0,0,0,0,0,2,0,498,321,6,53.5,3.867,83.0,0,0,2/29,2/29
Gary Bertram Troup,1952-03-10,new zealand,Right-hand bat,Left-arm fast-medium,1976-10-16,pakistan,22,12,101,8,39,25.25,140,72.14,0,0,7,2,2,0,1166,791,32,24.71,4.07,36.43,0,0,4/19,4/19
Gavin Rolf Larsen,1962-09-27,new zealand,Right-hand bat,Right-arm medium,1990-03-01,new zealand,121,70,629,27,37,14.62,970,64.84,0,0,29,9,23,0,6368,4000,113,35.39,3.7680000000000002,56.35,0,0,4/24,4/24
Geoffrey Ian Allott,1971-12-24,new zealand,Right-hand bat,Left-arm fast-medium,1997-02-26,new zealand,31,11,17,6,7,3.4,56,30.35,0,0,0,0,5,0,1528,1207,52,23.21,4.739,29.38,0,0,4/35,4/35
Geoffrey Philip Howarth,1951-03-29,new zealand,Right-hand bat,Off-break,1975-03-08,new zealand,70,65,1384,5,76,23.06,2301,60.14,0,6,112,0,16,0,90,68,3,22.66,4.533,30.0,0,0,1/4,1/4
Glen Paul Sulzberger,1973-03-14,new zealand,Left-hand bat,Off-break,2000-09-27,zimbabwe,3,2,9,1,6,9.0,15,60.0,0,0,0,0,0,0,132,102,3,34.0,4.636,44.0,0,0,1/28,1/28
Glenn Maitland Turner,1947-05-26,new zealand,Right-hand bat,Off-break,1973-02-11,new zealand,41,40,1598,6,171,47.0,2303,69.38,3,9,153,4,13,0,6,0,0,0.0,0.0,0.0,0,0,0/0,0/0
Graeme William Aldridge,1977-11-15,new zealand,Right-hand bat,Right-arm fast-medium,2011-10-22,zimbabwe,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,114,98,1,98.0,5.157,114.0,0,0,1/45,1/45
Graham Ellery Vivian,1946-02-28,new zealand,Left-hand bat,Leg-break,1973-02-11,new zealand,1,1,14,0,14,14.0,30,46.66,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Grant Eric Bradburn,1966-05-26,new zealand,Right-hand bat,Off-break,1990-11-04,pakistan,11,10,60,3,30,8.571,130,46.15,0,0,1,0,2,0,385,318,6,53.0,4.955,64.16,0,0,2/18,2/18
Grant David Elliott,1979-03-21,new zealand,Right-hand bat,Right-arm fast-medium,2008-06-18, new zealand,84,69,1976,11,115,34.06,2416,81.78,2,11,151,28,17,0,1302,1179,39,30.23,5.433,33.38,0,0,4/22,4/22
Hamish Kyle Bennett,1987-02-22,new zealand,Left-hand bat,Right-arm medium-fast,2010-10-14,bangladesh,16,7,10,5,4,5.0,35,28.57,0,0,0,0,3,0,718,621,27,23.0,5.189,26.59,0,0,4/16,4/16
Hamish John Hamilton Marshall,1979-02-15,new zealand,Right-hand bat,Right-arm medium,2003-11-29,pakistan,66,62,1454,9,101,27.43,1989,73.1,1,12,98,8,18,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Hamish Duncan Rutherford,1989-04-27,new zealand,Left-hand bat,Slow left-arm,2013-02-20,new zealand,4,4,15,0,11,3.75,56,26.78,0,0,2,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Heath Te-Ihi-O-Te-Rangi Davis,1971-11-30,new zealand,Right-hand bat,Right-arm fast,1994-04-18,new zealand,11,6,13,4,7,6.5,33,39.39,0,0,0,0,2,0,432,436,11,39.63,6.055,39.27,0,0,4/35,4/35
Hedley John Howarth,1943-12-25,new zealand,Left-hand bat,Slow left-arm,1973-02-11,new zealand,9,5,18,2,11,6.0,26,69.23,0,0,0,0,3,0,462,280,11,25.45,3.636,42.0,0,0,3/29,3/29
Iain Edward O'Brien,1976-10-07,new zealand,Right-hand bat,Right-arm medium,2008-02-20,new zealand,10,2,3,2,3,0.0,11,27.27,0,0,0,0,1,0,453,488,14,34.85,6.462999999999999,32.35,0,0,3/31,3/31
Ian Gareth Butler,1981-11-24,new zealand,Right-hand bat,Right-arm fast-medium,2002-02-13,new zealand,26,13,84,5,25,10.5,154,54.54,0,0,6,2,8,0,1109,1038,28,37.07,5.615,39.6,0,0,4/44,4/44
Ian David Stockley Smith,1957-02-28,new zealand,Right-hand bat,Right-arm,1980-11-25,australia,98,77,1055,16,62,17.29,1061,99.43,0,3,92,9,81,5,0,0,0,0.0,0.0,0.0,0,0,0,0
Inderbir Singh Sodhi,1992-10-31,new zealand,Right-hand bat,Leg-break googly,2015-08-02,zimbabwe,22,7,13,1,5,2.166,41,31.7,0,0,0,0,4,0,1094,1025,29,35.34,5.621,37.72,0,0,0,0
Jacob David Philip Oram,1978-07-28,new zealand,Left-hand bat,Right-arm medium,2001-01-04,new zealand,161,116,2434,15,101,24.09,2809,86.65,1,13,182,81,51,0,6911,5047,173,29.17,4.381,39.94,2,0,5/26,5/26
James Edward Charles Franklin,1980-07-11,new zealand,Left-hand bat,Left-arm fast-medium,2001-01-02,new zealand,110,80,1271,27,98,23.98,1651,76.98,0,4,97,17,26,0,3848,3354,81,41.4,5.229,47.5,1,0,5/28,5/30
James Andrew Hamilton Marshall,1979-02-15,new zealand,Right-hand bat,Right-arm medium,2005-02-26,new zealand,10,10,250,0,161,25.0,313,79.87,1,1,19,4,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Jamie Michael How,1981-05-19,new zealand,Right-hand bat,Off-break,2005-12-31,new zealand,41,37,1046,1,139,29.05,1572,66.53,1,7,117,7,19,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Jeetan Shashi Patel,1980-07-05,new zealand,Right-hand bat,Off-break,2005-08-31,zimbabwe,43,15,95,8,34,13.57,162,58.64,0,0,5,2,13,0,2014,1691,49,34.51,5.037,41.1,0,0,3/11,3/11
Jeffrey John Crowe,1958-09-14,new zealand,Right-hand bat,Right-arm slow-medium,1983-01-09,australia,75,71,1518,12,88,25.72,2456,61.8,0,7,110,12,28,0,6,1,0,0.0,1.0,0.0,0,0,0/0,0/0
Jeffrey William Wilson,1973-10-24,new zealand,Right-hand bat,Right-arm fast-medium,1993-03-19,new zealand,6,6,103,1,44,20.6,112,91.96,0,0,7,1,4,0,242,260,4,65.0,6.446000000000001,60.5,0,0,2/21,2/21
Jeremy Vernon Coney,1952-06-21,new zealand,Right-hand bat,Right-arm medium,1979-06-09,new zealand,88,80,1874,19,66,30.72,2885,64.95,0,8,128,12,40,0,2931,2039,54,37.75,4.1739999999999995,54.27,0,0,4/46,4/46
Jesse Daniel Ryder,1984-06-08,new zealand,Left-hand bat,Right-arm medium,2008-02-09,new zealand,48,42,1362,1,107,33.21,1429,95.31,3,6,152,38,15,0,407,412,12,34.33,6.0729999999999995,33.91,0,0,3/29,3/29
James Douglas Sheehan Neesham,1990-09-17,new zealand,Left-hand bat,Right-arm fast-medium,2013-01-19,south africa,41,37,811,7,74,27.03,854,94.96,0,4,84,9,17,0,1190,1293,34,38.02,6.519,35.0,0,0,4/42,4/42
Graham Neil Edwards,1955-05-27,new zealand,Right-hand bat,Not-Bowled,1976-02-21,new zealand,6,6,138,0,41,23.0,191,72.25,0,0,11,0,5,0,6,5,1,5.0,5.0,6.0,0,0,1/5,1/5
John Garry Bracewell,1958-04-15,new zealand,Right-hand bat,Off-break,1983-06-11,new zealand,53,43,512,12,43,16.51,717,71.4,0,0,36,3,19,0,2447,1884,33,57.09,4.619,74.15,0,0,2/3,2/3
John Fulton Reid,1956-03-03,new zealand,Left-hand bat,Leg-break,1980-02-06,new zealand,25,24,633,1,88,27.52,1084,58.39,0,4,28,2,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
John Francis MacLean Morrison,1947-08-27,new zealand,Right-hand bat,Slow left-arm,1975-03-09,new zealand,18,15,252,3,55,21.0,430,58.6,0,1,20,0,6,0,283,199,8,24.87,4.218999999999999,35.37,0,0,3/24,3/24
John Morton Parker,1951-02-21,new zealand,Right-hand bat,Leg-break googly,1974-03-31,new zealand,24,20,248,0,66,12.4,403,61.53,0,1,15,0,11,1,12,10,1,10.0,5.0,12.0,0,0,1/10,1/10
John Geoffrey Wright,1954-05-07,new zealand,Left-hand bat,Right-arm medium,1978-07-15, new zealand,149,148,3891,1,101,26.46,6771,57.46,1,24,368,13,51,0,24,8,0,0.0,2.0,0.0,0,0,0/0,0/0
Jonathan Paul Millmow,1967-09-22,new zealand,Right-hand bat,Right-arm fast-medium,1990-04-26,australia,5,1,0,1,0,0.0,3,0.0,0,0,0,0,1,0,270,232,4,58.0,5.155,67.5,0,0,2/22,2/22
Justin Thomas Caldwell Vaughan,1967-08-30,new zealand,Left-hand bat,Right-arm medium,1992-12-04,sri lanka,18,16,162,7,33,18.0,261,62.06,0,0,7,0,4,0,696,524,15,34.93,4.5169999999999995,46.4,0,0,4/27,4/33
Kane Stuart Williamson,1990-08-08,new zealand,Right-hand bat,Off-break,2010-08-10,india,128,121,5156,11,145,46.87,6195,83.22,11,33,474,43,53,0,1329,1207,35,34.48,5.449,37.97,0,0,4/22,4/22
Kenneth Robert Rutherford,1965-10-26,new zealand,Right-hand bat,Right-arm medium,1985-03-27,west indies,121,115,3143,9,108,29.65,4888,64.3,2,18,223,17,41,0,389,323,10,32.3,4.982,38.9,0,0,2/39,2/39
Kenneth John Wadsworth,1946-11-30,new zealand,Right-hand bat,Right-arm slow-medium,1973-02-11,new zealand,13,10,258,1,104,28.66,334,77.24,1,0,27,2,13,2,0,0,0,0.0,0.0,0.0,0,0,0,0
Kerry Peter Walmsley,1973-08-23,new zealand,Right-hand bat,Right-arm fast-medium,2003-11-29,pakistan,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,120,117,2,58.5,5.85,60.0,0,0,1/7,1/53
Kyle David Mills,1979-03-15,new zealand,Right-hand bat,Right-arm medium,2001-04-15,new zealand,171,101,1047,34,54,15.62,1281,81.73,0,2,76,38,42,0,8230,6485,240,27.02,4.727,34.29,1,0,5/25,5/25
Bernard Lance Cairns,1949-10-10,new zealand,Right-hand bat,Right-arm medium-fast,1974-03-30,new zealand,78,65,987,6,60,16.72,937,105.3,0,2,68,39,19,0,3951,2717,89,30.52,4.126,44.39,1,0,5/28,5/28
Lance John Hamilton,1973-05-04,new zealand,Right-hand bat,Left-arm fast-medium,2005-03-01,new zealand,2,2,3,2,2,0.0,6,50.0,0,0,0,0,0,0,108,143,1,143.0,7.944,108.0,0,0,1/76,1/76
Lee Kenneth Germon,1968-04-11,new zealand,Right-hand bat,Leg-break,1994-12-08,new zealand,37,31,519,5,89,19.96,787,65.94,0,3,28,1,21,9,0,0,0,0.0,0.0,0.0,0,0,0,0
Llorne Gregory Howell,1972-08-07,new zealand,Right-hand bat,Right-arm medium,1998-02-04,new zealand,12,12,287,0,68,23.91,388,73.96,0,4,31,4,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Lou Vincent,1978-11-11,new zealand,Right-hand bat,Right-arm medium,2001-02-06,new zealand,102,99,2413,10,172,27.11,3453,69.88,3,11,222,37,41,0,20,25,1,25.0,7.5,20.0,0,0,1/0,1/0
Luke Ronchi,1981-04-23,new zealand,Right-hand bat,Not-Bowled,2008-06-27,west indies,85,68,1397,9,170,23.67,1220,114.5,1,4,149,43,105,12,0,0,0,0.0,0.0,0.0,0,0,0,0
Luke James Woodcock,1982-03-19,new zealand,Left-hand bat,Slow left-arm,2011-01-29,new zealand,4,2,14,1,11,14.0,22,63.63,0,0,1,0,0,0,164,155,3,51.66,5.67,54.66,0,0,2/58,2/58
Mark David Bailey,1970-11-26,new zealand,Right-hand bat,Right-arm medium,1998-10-24,new zealand,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Mark Gordon Burgess,1944-07-17,new zealand,Right-hand bat,Off-break,1973-02-11,new zealand,26,20,336,0,47,16.8,515,65.24,0,0,19,2,8,0,72,69,1,69.0,5.75,72.0,0,0,1/10,1/10
Mark William Douglas,1968-10-20,new zealand,Left-hand bat,Not-Bowled,1994-04-16,australia,6,6,55,0,30,9.166,123,44.71,0,0,2,1,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Mark Raymond Gillespie,1979-10-17,new zealand,Right-hand bat,Right-arm fast-medium,2006-12-28,new zealand,32,14,93,8,28,15.5,118,78.81,0,0,8,1,6,0,1521,1369,37,37.0,5.4,41.1,0,0,4/7,4/7
Mark John Greatbatch,1963-11-12,new zealand,Left-hand bat,Right-arm medium,1988-03-09,new zealand,84,83,2206,5,111,28.28,3099,71.18,2,13,177,37,35,0,6,5,0,0.0,5.0,0.0,0,0,0/0,0/0
Mark James Haslam,1972-09-26,new zealand,Left-hand bat,Slow left-arm,1992-12-13,sri lanka,1,1,9,0,9,9.0,18,50.0,0,0,0,0,0,0,30,28,1,28.0,5.6,30.0,0,0,1/28,1/28
Mark Wellings Priest,1961-12-08,new zealand,Left-hand bat,Slow left-arm,1990-04-26,australia,18,14,103,4,24,10.3,225,45.77,0,0,1,0,2,0,752,590,8,73.75,4.707,94.0,0,0,2/27,2/27
Mark Hunter Richardson,1971-11-06,new zealand,Left-hand bat,Slow left-arm,2002-01-11,australia,4,4,42,0,26,10.5,97,43.29,0,0,4,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Martin David Crowe,1962-09-22,new zealand,Right-hand bat,Right-arm medium,1982-02-13,new zealand,143,140,4704,18,107,38.55,6477,72.62,4,34,378,29,66,0,1296,954,29,32.89,4.416,44.68,0,0,2/9,2/9
Martin James Guptill,1986-09-30,new zealand,Right-hand bat,Off-break,2009-01-10,new zealand,159,156,5976,17,237,42.99,6918,86.38,13,34,613,148,76,0,109,98,4,24.5,5.394,27.25,0,0,2/6,2/6
Martin Colin Snedden,1958-11-23,new zealand,Left-hand bat,Right-arm medium-fast,1980-11-23,australia,93,54,535,19,64,15.28,843,63.46,0,1,31,0,19,0,4525,3237,114,28.39,4.292,39.69,0,0,4/34,4/34
Mathew Stuart Sinclair,1975-09-11,new zealand,Right-hand bat,Right-arm medium,2000-02-26,new zealand,54,50,1304,4,118,28.34,2086,62.51,2,8,112,5,17,0,0,0,0,0.0,0.0,0.0,0,0,0,0
