Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate.1,5WI,10WM,BBI,BBM
Anil Kumble,1970-10-17,india,Right-hand bat,Leg-break googly,1990-04-25,sri lanka,271,136,938,47,26,10.53,1536,61.06,0,0,57,6,85,0,14496,10412,337,30.89,4.309,43.01,2,0,6/12,6/12
Anshuman Dattajirao Gaekwad,1952-09-23,india,Right-hand bat,Off-break,1975-06-07,england,15,14,269,1,78,20.69,509,52.84,0,1,12,0,6,0,48,39,1,39.0,4.875,48.0,0,0,1/4,1/4
Arshad Ayub,1958-02-08,india,Right-hand bat,Off-break,1987-12-08,west indies,32,17,116,7,31,11.6,162,71.6,0,0,6,0,5,0,1769,1216,31,39.22,4.124,57.06,1,0,5/21,5/21
Jagdishlal Arun Lal,1955-01-08,india,Right-hand bat,Right-arm medium,1982-01-27,england,13,13,122,0,51,9.384,232,52.58,0,1,10,1,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Ashish Nehra,1979-04-29,india,Right-hand bat,Left-arm medium-fast,2001-06-24,zimbabwe,120,46,141,21,24,5.64,246,57.31,0,0,12,3,18,0,5751,4981,157,31.72,5.196000000000001,36.63,2,0,6/23,6/23
Ashok Bhimchandra Dinda,1984-03-25,india,Right-hand bat,Right-arm medium-fast,2010-05-28,zimbabwe,13,5,21,0,16,4.2,36,58.33,0,0,1,0,1,0,594,612,12,51.0,6.181,49.5,0,0,2/9,2/9
Ashok Omprakash Malhotra,1957-01-26,india,Right-hand bat,Right-arm medium,1982-01-27,england,20,19,457,4,65,30.46,645,70.85,0,1,23,0,4,0,6,0,0,0.0,0.0,0.0,0,0,0/0,0/0
Ashok Vinoo Mankad,1946-12-10,india,Right-hand bat,Right-arm medium,1974-07-15,england,1,1,44,0,44,44.0,61,72.13,0,0,3,0,0,0,35,47,1,47.0,8.057,35.0,0,0,1/47,1/47
Ashok Kurjibhai Patel,1957-06-03,india,Right-hand bat,Off-break,1984-09-28,australia,8,2,6,0,6,3.0,11,54.54,0,0,0,0,1,0,360,263,7,37.57,4.383,51.42,0,0,3/43,3/43
Atul Chandrakant Bedade,1966-06-24,india,Left-hand bat,Right-arm medium,1994-04-13,united arab emirates,13,10,158,3,51,22.57,183,86.33,0,1,11,5,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Atul Satish Wassan,1968-03-23,india,Right-hand bat,Right-arm fast-medium,1990-03-01,new zealand,9,6,33,2,16,8.25,56,58.92,0,0,2,0,2,0,426,283,11,25.72,3.985,38.72,0,0,3/28,3/28
Balwinder Singh Sandhu,1956-03-08,india,Right-hand bat,Right-arm medium-fast,1982-12-03,pakistan,22,7,51,3,16,12.75,78,65.38,0,0,1,0,5,0,1110,763,16,47.68,4.124,69.37,0,0,3/27,3/27
Bhagwat Subramanya Chandrasekhar,1945-05-17,india,Right-hand bat,Leg-break,1976-02-22,new zealand,1,1,11,1,11,0.0,13,84.61,0,0,0,0,0,0,42,36,3,12.0,5.142,14.0,0,0,3/25,3/36
Bharathi Arun,1962-12-14,india,Right-hand bat,Right-arm medium,1986-12-24,sri lanka,4,3,21,1,8,10.5,32,65.62,0,0,2,0,0,0,102,103,1,103.0,6.058,102.0,0,0,1/26,1/40
Bharath Reddy,1954-12-11,india,Right-hand bat,Not-Bowled,1978-11-03,pakistan,3,4,22,4,8,0.0,40,55.0,0,0,2,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Bhupinder Singh,1965-01-04,india,Right-hand bat,Right-arm fast-medium,1994-04-13,united arab emirates,2,1,6,0,6,6.0,13,46.15,0,0,0,0,0,0,102,78,3,26.0,4.588,34.0,0,0,3/34,3/34
Bhuvneshwar Kumar Singh,1990-05-02,india,Right-hand bat,Right-arm fast-medium,2012-12-30,pakistan,86,40,379,14,53,14.57,497,76.25,0,1,34,5,23,0,4144,3448,90,38.31,4.992,46.04,1,0,4/8,4/8
Bishan Singh Bedi,1946-09-25,india,Right-hand bat,Slow left-arm,1974-07-13,england,10,7,31,2,13,6.2,70,44.28,0,0,0,0,4,0,576,340,7,48.57,3.5410000000000004,82.28,0,0,2/21,2/26
Brijesh Pursuram Patel,1952-11-24,india,Right-hand bat,Off-break,1974-07-13,england,10,9,243,1,82,30.37,399,60.9,0,1,21,2,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Chandrakant Sitaram Pandit,1961-09-30,india,Right-hand bat,Not-Bowled,1986-04-10,new zealand,36,23,290,9,33,20.71,400,72.5,0,0,15,0,15,15,0,0,0,0.0,0.0,0.0,0,0,0,0
Chetandra Pratap Singh Chauhan,1947-07-21,india,Right-hand bat,Off-break,1978-10-01,pakistan,7,7,153,0,46,21.85,301,50.83,0,0,4,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Chetan Sharma,1966-03-01,india,Right-hand bat,Right-arm fast-medium,1983-12-07,west indies,65,35,456,16,101,24.0,504,90.47,1,0,31,4,7,0,2835,2336,67,34.86,4.9430000000000005,42.31,0,0,3/22,3/22
Cheteshwar Arvindbhai Pujara,1988-01-25,india,Right-hand bat,Leg-break,2013-08-01,zimbabwe,5,5,51,0,27,10.2,130,39.23,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Debasis Sarbeswar Mohanty,1976-07-20,india,Right-hand bat,Right-arm medium,1997-09-13,pakistan,45,11,28,6,18,5.6,57,49.12,0,0,1,0,10,0,1996,1662,57,29.15,4.996,35.01,0,0,4/56,4/56
Deep Biplab Dasgupta,1977-07-06,india,Right-hand bat,Not-Bowled,2001-10-05,south africa,5,4,51,1,24,17.0,82,62.19,0,0,6,0,2,1,0,0,0,0.0,0.0,0.0,0,0,0,0
Devang Jayant Gandhi,1971-06-09,india,Right-hand bat,Right-arm medium,1999-11-17,new zealand,3,3,49,0,30,16.33,97,50.51,0,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Dhawal Sunil Kulkarni,1988-10-12,india,Right-hand bat,Right-arm medium,2014-09-02,england,12,2,27,2,25,0.0,28,96.42,0,0,2,1,2,0,598,508,19,26.73,5.0969999999999995,31.47,0,0,0,0
Dilip Rasiklal Doshi,1947-12-22,india,Left-hand bat,Slow left-arm,1980-12-06,australia,15,5,9,2,5,3.0,20,45.0,0,0,0,0,3,0,792,524,22,23.81,3.969,36.0,0,0,4/30,4/30
Dilip Balwant Vengsarkar,1956-06-04,india,Right-hand bat,Right-arm medium,1976-02-21,new zealand,129,120,3508,19,105,34.73,5179,67.73,1,23,220,16,37,0,6,4,0,0.0,4.0,0.0,0,0,0/3,0/3
Krishankumar Dinesh Karthik,1985-01-06,india,Right-hand bat,Off-break,2004-09-05,england,79,67,1496,17,79,29.92,2055,72.79,0,9,154,12,53,7,0,0,0,0.0,0.0,0.0,0,0,0,0
Dinesh Mongia,1977-04-17,india,Left-hand bat,Slow left-arm,2001-03-28,australia,57,51,1230,7,159,27.95,1721,71.47,1,4,122,8,21,0,640,571,14,40.78,5.353,45.71,0,0,3/31,3/31
Doddanarasiah Ganesh,1973-06-30,india,Right-hand bat,Right-arm medium,1997-02-15,zimbabwe,1,1,4,0,4,4.0,8,50.0,0,0,0,0,0,0,30,20,1,20.0,4.0,30.0,0,0,1/20,1/20
Eknath Dhondu Solkar,1948-03-18,india,Left-hand bat,"Left-arm medium, Slow left-arm",1974-07-13,england,7,6,27,0,13,4.5,79,34.17,0,0,2,0,2,0,228,169,4,42.25,4.447,57.0,0,0,2/31,2/31
Farokh Manecksha Engineer,1938-02-25,india,Right-hand bat,Leg-break,1974-07-13,england,5,4,114,1,54,38.0,195,58.46,0,1,13,0,3,1,0,0,0,0.0,0.0,0.0,0,0,0,0
Gagan Kishanlal Khoda,1974-10-24,india,Right-hand bat,Off-break,1998-05-14,bangladesh,2,2,115,0,89,57.5,185,62.16,0,1,11,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Gautam Gambhir,1981-10-14,india,Left-hand bat,Leg-break,2003-04-11,bangladesh,147,143,5238,11,150,39.68,6144,85.25,11,34,562,17,36,0,6,13,0,0.0,13.0,0.0,0,0,0/4,0/4
Ghulam Ahmed Parkar,1955-10-25,india,Right-hand bat,Right-arm medium,1982-06-02,england,10,10,165,1,42,18.33,332,49.69,0,0,9,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Gopal Krishna Bose,1947-05-20,india,Right-hand bat,Off-break,1974-07-15,england,1,1,13,0,13,13.0,18,72.22,0,0,1,0,0,0,66,39,1,39.0,3.545,66.0,0,0,1/39,1/39
Gopal Sharma,1960-03-08,india,Right-hand bat,Off-break,1985-08-25,sri lanka,11,2,11,0,7,5.5,24,45.83,0,0,0,0,2,0,486,361,10,36.1,4.456,48.6,0,0,3/29,3/29
Gundappa Rangnath Viswanath,1949-12-02,india,Right-hand bat,Leg-break,1974-07-13,england,25,23,439,1,75,19.95,830,52.89,0,2,30,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Gursharan Singh,1963-08-03,india,Right-hand bat,Not-Bowled,1990-03-08,australia,1,1,4,0,4,4.0,10,40.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Gyanendrakumar Kedarnath Pandey,1972-12-08,india,Left-hand bat,Slow left-arm,1999-03-24,pakistan,2,2,4,1,4,4.0,11,36.36,0,0,0,0,0,0,78,60,0,0.0,4.615,0.0,0,0,0/21,0/21
Harbhajan Singh,1980-03-07,india,Right-hand bat,Off-break,1998-04-17,new zealand,236,128,1237,35,49,13.3,1526,81.06,0,0,92,35,71,0,12479,8973,269,33.35,4.314,46.39,3,0,5/13,5/18
Harvinder Singh,1977-12-23,india,Right-hand bat,Right-arm fast-medium,1997-09-13,pakistan,16,5,6,1,3,1.5,19,31.57,0,0,0,0,6,0,686,609,24,25.37,5.3260000000000005,28.58,0,0,3/44,3/44
Hemang Kamal Badani,1976-11-14,india,Left-hand bat,Slow left-arm,2000-05-30,bangladesh,40,36,867,10,100,33.34,1180,73.47,1,4,68,10,13,0,183,149,3,49.66,4.885,61.0,0,0,1/7,1/7
Hrishikesh Hemant Kanitkar,1974-11-14,india,Left-hand bat,Off-break,1997-12-25,sri lanka,34,27,339,8,57,17.84,512,66.21,0,1,25,1,14,0,1006,803,17,47.23,4.789,59.17,0,0,2/22,2/22
Irfan Khan Pathan,1984-10-27,india,Left-hand bat,Left-arm medium-fast,2004-01-09,australia,120,87,1544,21,83,23.39,1941,79.54,0,5,143,37,21,0,5855,5142,173,29.72,5.269,33.84,2,0,5/27,5/27
Ishant Sharma,1988-02-09,india,Right-hand bat,Right-arm fast-medium,2007-06-29,south africa,80,28,72,13,13,4.8,203,35.46,0,0,6,0,19,0,3733,3563,115,30.98,5.726,32.46,0,0,4/34,4/34
Jacob Joseph Martin,1972-11-05,india,Right-hand bat,Leg-break googly,1999-09-11,west indies,10,8,158,1,39,22.57,331,47.73,0,0,15,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Jatin Vasudev Paranjpe,1972-04-17,india,Left-hand bat,Slow left-arm,1998-05-28,kenya,4,4,54,1,27,18.0,91,59.34,0,0,3,1,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Javagal Srinath,1969-08-31,india,Right-hand bat,Right-arm fast-medium,1991-10-18,pakistan,229,121,883,38,53,10.63,1109,79.62,0,1,62,17,32,0,11935,8847,315,28.08,4.447,37.88,3,0,5/23,5/23
Jaydev Dipakbhai Unadkat,1991-10-18,india,Right-hand bat,Left-arm fast-medium,2013-07-24,zimbabwe,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,312,209,8,26.12,4.019,39.0,0,0,4/41,4/41
Joginder Sharma,1983-10-23,india,Right-hand bat,Right-arm fast-medium,2004-12-23,bangladesh,4,3,35,2,29,35.0,30,116.6,0,0,5,0,3,0,150,115,1,115.0,4.6,150.0,0,0,1/10,1/10
Jai Prakash Yadav,1974-07-08,india,Right-hand bat,Right-arm medium,2002-11-06,west indies,12,7,81,3,69,20.25,123,65.85,0,1,11,1,3,0,396,326,6,54.33,4.939,66.0,0,0,2/32,2/32
Kapil Dev Ramlal Nikhanj,1959-06-01,india,Right-hand bat,Right-arm fast-medium,1978-10-01,pakistan,225,198,3783,39,175,23.79,3932,96.21,1,14,281,59,71,0,11202,6945,253,27.45,3.719,44.27,1,0,5/28,5/43
Karn Vinod Sharma,1987-10-23,india,Left-hand bat,Leg-break googly,2014-11-13,sri lanka,2,0,0,0,0,0.0,0,0.0,0,0,0,0,3,0,114,125,0,0.0,6.577999999999999,0.0,0,0,0,0
Karsan Devjibhai Ghavri,1951-02-28,india,Left-hand bat,"Left-arm medium, Slow left-arm",1975-06-07,england,19,16,114,6,20,11.4,194,58.76,0,0,6,0,2,0,1033,708,15,47.2,4.112,68.86,0,0,3/40,3/40
Karun Kaladharan Nair,1991-06-12,india,Right-hand bat,Off-break,2016-06-11,zimbabwe,2,2,46,0,39,23.0,88,52.27,0,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Kedar Mahadeo Jadhav,1985-03-26,india,Right-hand bat,Off-break,2014-11-16,sri lanka,40,27,798,7,120,39.9,732,109.0,2,3,85,15,19,0,593,512,16,32.0,5.18,37.06,0,0,0,0
Kiran Shankar More,1962-04-09,india,Right-hand bat,Not-Bowled,1984-12-05,england,94,65,563,22,42,13.09,808,69.67,0,0,42,3,63,27,0,0,0,0.0,0.0,0.0,0,0,0,0
Kirtivardhan Bhagwat Jha Azad,1959-02-01,india,Right-hand bat,Off-break,1980-12-06,australia,25,21,269,2,39,14.15,381,70.6,0,0,18,8,7,0,390,273,7,39.0,4.2,55.71,0,0,2/48,2/48
Krishnamachari Srikkanth,1959-12-21,india,Right-hand bat,Right-arm medium,1981-11-25,england,146,145,4091,4,123,29.01,5662,72.25,4,27,396,32,42,0,712,641,25,25.64,5.401,28.48,2,0,5/27,5/27
Kuldeep Yadav,1994-12-14,india,Left-hand bat,Chinaman,2017-06-23,west indies,20,7,23,5,19,11.5,37,62.16,0,0,4,0,2,0,976,781,39,20.02,4.801,25.02,0,0,0,0
Lakshmipathy Balaji,1981-09-27,india,Right-hand bat,Right-arm fast-medium,2002-11-18,west indies,30,16,120,6,21,12.0,152,78.94,0,0,8,3,11,0,1447,1344,34,39.52,5.572,42.55,0,0,4/13,4/13
Lalchand Sitaram Rajput,1961-12-18,india,Right-hand bat,"Right-arm medium, Off-break",1985-01-23,england,4,4,9,1,8,3.0,31,29.03,0,0,0,0,2,0,42,42,0,0.0,6.0,0.0,0,0,0/18,0/18
Laxman Sivaramakrishnan,1965-12-31,india,Right-hand bat,Leg-break googly,1985-02-20,pakistan,16,4,5,2,2,2.5,24,20.83,0,0,0,0,7,0,756,538,15,35.86,4.269,50.4,0,0,3/35,3/35
Laxmi Ratan Shukla,1981-06-05,india,Right-hand bat,Right-arm medium,1999-03-22,sri lanka,3,2,18,0,13,9.0,19,94.73,0,0,1,0,1,0,114,94,1,94.0,4.947,114.0,0,0,1/5,1/5
Madan Lal Udhouram Sharma,1951-03-20,india,Right-hand bat,Right-arm medium,1974-07-13,england,67,35,401,14,53,19.09,606,66.17,0,1,18,0,18,0,3142,2137,73,29.27,4.08,43.04,0,0,4/20,4/20
Mahendra Singh Dhoni,1981-07-07,india,Right-hand bat,Right-arm medium,2004-12-23,bangladesh,318,273,9967,79,183,51.37,11276,88.39,10,67,770,217,297,107,36,31,1,31.0,5.166,36.0,0,0,1/14,1/14
Maninder Singh,1965-06-13,india,Right-hand bat,Slow left-arm,1983-01-21,pakistan,59,18,49,14,8,12.25,90,54.44,0,0,1,0,18,0,3133,2066,66,31.3,3.9560000000000004,47.46,0,0,4/22,4/22
Manoj Prabhakar,1963-04-15,india,Right-hand bat,Right-arm medium,1984-04-08,sri lanka,130,98,1858,21,106,24.12,3083,60.26,2,11,156,0,27,0,6360,4534,157,28.87,4.277,40.5,2,0,5/33,5/33
Manoj Kumar Tiwary,1985-11-14,india,Right-hand bat,Leg-break googly,2008-02-03,australia,12,12,287,1,104,26.09,403,71.21,1,1,24,3,4,0,132,150,5,30.0,6.818,26.4,0,0,4/61,4/61
Manpreet Singh Gony,1984-04-01,india,Right-hand bat,Right-arm medium,2008-06-25,hong kong,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,78,76,2,38.0,5.846,39.0,0,0,2/11,2/11
Margashayam Venkataramana,1966-04-24,india,Right-hand bat,Off-break,1988-12-17,new zealand,1,1,0,1,0,0.0,0,0.0,0,0,0,0,0,0,60,36,2,18.0,3.6,30.0,0,0,2/36,2/36
Mohammad Azharuddin,1963-08-02,india,Right-hand bat,Right-arm medium,1985-01-20,england,334,308,9378,54,153,36.92,12673,73.99,7,58,618,74,156,0,552,479,12,39.91,5.206,46.0,0,0,3/19,3/19
Mohammad Kaif,1980-01-12,india,Right-hand bat,Off-break,2002-01-28,england,125,110,2753,24,111,32.01,3822,72.03,2,17,228,9,55,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Mohammed Shami,1990-03-09,india,Right-hand bat,Right-arm fast-medium,2013-01-06,pakistan,50,23,116,12,25,10.54,133,87.21,0,0,8,6,16,0,2525,2309,91,25.37,5.486000000000001,27.74,0,0,4/35,4/35
Mohinder Amarnath Bhardwaj,1950-09-24,india,Right-hand bat,Right-arm medium,1975-06-07,england,85,75,1924,12,102,30.53,3252,59.16,2,13,114,0,23,0,2702,1971,46,42.84,4.376,58.73,0,0,3/12,3/12
Mohit Sharma,1988-09-18,india,Right-hand bat,Right-arm fast-medium,2013-08-01,zimbabwe,26,9,31,5,11,7.75,66,46.96,0,0,5,0,6,0,1121,1020,31,32.9,5.459,36.16,0,0,2/14,2/14
Mannava Sri Kanth Prasad,1975-04-24,india,Right-hand bat,Not-Bowled,1998-05-14,bangladesh,17,11,131,2,63,14.55,225,58.22,0,1,11,0,14,7,0,0,0,0.0,0.0,0.0,0,0,0,0
Munaf Musa Patel,1983-12-07,india,Right-hand bat,Right-arm medium-fast,2006-04-03,england,70,27,74,16,15,6.727,111,66.66,0,0,7,1,11,0,3154,2603,86,30.26,4.9510000000000005,36.67,0,0,4/20,4/20
Murali Kartik,1976-11-09,india,Left-hand bat,Slow left-arm,2002-03-16,zimbabwe,37,14,126,5,32,14.0,178,70.78,0,0,10,1,10,0,1907,1612,37,43.56,5.071000000000001,51.54,1,0,6/27,6/27
Murali Vijay,1984-01-04,india,Right-hand bat,Off-break,2010-02-27,south africa,17,16,339,0,72,21.18,506,66.99,0,1,33,3,9,0,36,37,1,37.0,6.166,36.0,0,0,0,0
Naman Vijaykumar Ojha,1983-07-20,india,Right-hand bat,Right-arm medium-fast,2010-06-05,sri lanka,1,1,1,0,1,1.0,7,14.28,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
Narendra Deepchand Hirwani,1968-10-18,india,Right-hand bat,Leg-break googly,1988-01-22,west indies,18,7,8,3,4,2.0,29,27.58,0,0,0,0,2,0,960,719,23,31.26,4.493,41.73,0,0,4/43,4/43
Navjot Singh Sidhu,1963-10-20,india,Right-hand bat,Right-arm medium,1987-10-09,australia,136,127,4413,8,134,37.08,6329,69.72,6,33,335,44,20,0,4,3,0,0.0,4.5,0.0,0,0,0/1,0/1
Nayan Ramlal Mongia,1969-12-19,india,Right-hand bat,Not-Bowled,1994-02-15,sri lanka,140,96,1272,33,69,20.19,1845,68.94,0,2,95,8,110,44,0,0,0,0.0,0.0,0.0,0,0,0,0
Nikhil Chopra,1973-12-26,india,Right-hand bat,Off-break,1998-05-28,kenya,39,26,310,6,61,15.5,498,62.24,0,1,15,5,16,0,1835,1286,46,27.95,4.204,39.89,1,0,5/21,5/21
Nilesh Moreshwar Kulkarni,1973-03-04,india,Left-hand bat,Slow left-arm,1997-07-26,sri lanka,10,5,11,3,5,5.5,20,55.0,0,0,0,0,2,0,402,357,11,32.45,5.327999999999999,36.54,0,0,3/27,3/27
Noel Arthur David,1971-02-26,india,Right-hand bat,Off-break,1997-04-27,west indies,4,2,9,2,8,0.0,10,90.0,0,0,0,0,0,0,192,133,4,33.25,4.156000000000001,48.0,0,0,3/21,3/21
Pankaj Dharmani,1974-09-27,india,Right-hand bat,Not-Bowled,1996-10-23,south africa,1,1,8,0,8,8.0,8,100.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Pankaj Singh,1985-06-05,india,Right-hand bat,Right-arm medium,2010-06-05,sri lanka,1,1,3,1,3,0.0,3,100.0,0,0,0,0,1,0,42,45,0,0.0,6.428,0.0,0,0,0/12,0/12
Paras Laxmikant Mhambrey,1972-06-20,india,Right-hand bat,Right-arm medium,1996-05-23,england,3,1,7,1,7,0.0,5,140.0,0,0,1,0,0,0,126,120,3,40.0,5.7139999999999995,42.0,0,0,2/69,2/69
Parthasarathy Harishchandra Sharma,1948-05-01,india,Right-hand bat,Right-arm medium,1976-02-21,new zealand,2,2,20,0,14,10.0,39,51.28,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Parthiv Ajaybhai Patel,1985-09-03,india,Left-hand bat,Off-break,2003-01-04,new zealand,38,34,736,3,95,23.74,962,76.5,0,4,79,7,30,9,0,0,0,0.0,0.0,0.0,0,0,0,0
Parvez Rasool Zarghav,1989-02-13,india,Right-hand bat,Off-break,2014-06-15,bangladesh,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,60,60,2,30.0,6.0,30.0,0,0,0,0
Piyush Pramod Chawla,1988-12-24,india,Left-hand bat,Leg-break googly,2007-05-12,bangladesh,25,12,38,5,13,5.428,58,65.51,0,0,3,0,9,0,1312,1117,32,34.9,5.1080000000000005,41.0,0,0,4/17,4/17
Pochiah Krishnamurthy,1947-12-07,india,Right-hand bat,Leg-break,1976-02-22,new zealand,1,1,6,0,6,6.0,13,46.15,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0
Pragyan Prayish Ojha,1986-05-09,india,Left-hand bat,Slow left-arm,2008-06-28,bangladesh,18,10,46,8,16,23.0,112,41.07,0,0,3,0,7,0,876,652,21,31.04,4.465,41.71,0,0,4/21,4/21
Prashant Sridhar Vaidya,1967-09-23,india,Right-hand bat,Right-arm medium-fast,1995-02-22,australia,4,2,15,0,12,7.5,12,125.0,0,0,2,0,2,0,184,174,4,43.5,5.672999999999999,46.0,0,0,2/41,2/41
Pravin Kalyan Amre,1968-08-14,india,Right-hand bat,Leg-break,1991-11-10,south africa,37,30,513,5,84,20.52,799,64.2,0,2,28,2,12,0,2,4,0,0.0,12.0,0.0,0,0,0/4,0/4
Rahul Sharad Dravid,1973-11-01,india,Right-hand bat,Off-break,1996-04-03,sri lanka,344,318,10889,40,153,39.16,15285,71.23,12,83,950,42,196,14,186,170,4,42.5,5.483,46.5,0,0,2/43,2/43
Rahul Laxman Sanghvi,1974-03-09,india,Left-hand bat,Slow left-arm,1998-01-18,pakistan,10,2,8,0,8,4.0,11,72.72,0,0,0,1,4,0,498,399,10,39.9,4.8069999999999995,49.8,0,0,3/29,3/29
Rajesh Kumar Chauhan,1966-12-19,india,Right-hand bat,Off-break,1993-07-25,sri lanka,35,18,132,5,32,10.15,171,77.19,0,0,5,4,10,0,1634,1216,29,41.93,4.465,56.34,0,0,3/8,3/29
Rajinder Singh Ghai,1960-12-06,india,Right-hand bat,Right-arm medium-fast,1984-12-05,england,6,1,1,0,1,1.0,3,33.33,0,0,0,0,0,0,275,260,3,86.66,5.672000000000001,91.66,0,0,1/38,1/38
